contract_establish,end_establish,expand_establish,month,net_change,open_establish,state,total_contract,total_expand,year
54510,10507,50553,June,-3511,10953,Mississippi,65017,61506,2007.0
48381,9509,50437,September,4475,11928,Mississippi,57890,62365,2007.0
50115,8494,52039,December,5788,12358,Mississippi,58609,64397,2007.0
50443,10233,48938,March,-1459,10279,Mississippi,60676,59217,2008.0
57546,10154,46208,June,-10446,11046,Mississippi,67700,57254,2008.0
55342,10825,45305,September,-10993,9869,Mississippi,66167,55174,2008.0
58989,11485,45578,December,-13915,10981,Mississippi,70474,56559,2008.0
57220,10382,39592,March,-18534,9476,Mississippi,67602,49068,2009.0
53011,10660,40402,June,-14038,9231,Mississippi,63671,49633,2009.0
48138,10092,41911,September,-7006,9313,Mississippi,58230,51224,2009.0
43367,9604,39749,December,-2392,10830,Mississippi,52971,50579,2009.0
43112,8061,41664,March,245,9754,Mississippi,51173,51418,2010.0
43108,8654,47064,June,7510,12208,Mississippi,51762,59272,2010.0
46472,10984,46047,September,-896,10513,Mississippi,57456,56560,2010.0
45064,10494,44196,December,8,11370,Mississippi,55558,55566,2010.0
43443,8200,45397,March,3731,9977,Mississippi,51643,55374,2011.0
46809,9661,42376,June,-4144,9950,Mississippi,56470,52326,2011.0
43501,8853,43857,September,2185,10682,Mississippi,52354,54539,2011.0
42397,8658,41831,December,306,9530,Mississippi,51055,51361,2011.0
39811,7356,47452,March,9699,9414,Mississippi,47167,56866,2012.0
46031,8828,41816,June,-4527,8516,Mississippi,54859,50332,2012.0
43346,8757,44191,September,1324,9236,Mississippi,52103,53427,2012.0
39989,12198,45665,December,4114,10636,Mississippi,52187,56301,2012.0
40279,6952,42461,March,3782,8552,Mississippi,47231,51013,2013.0
43538,7879,42405,June,-801,8211,Mississippi,51417,50616,2013.0
40802,9012,43558,September,3151,9407,Mississippi,49814,52965,2013.0
40642,8033,46361,December,7011,9325,Mississippi,48675,55686,2013.0
44530,6586,41678,March,-925,8513,Mississippi,51116,50191,2014.0
46331,10678,43107,June,-3824,10078,Mississippi,57009,53185,2014.0
42933,8732,45599,September,2087,8153,Mississippi,51665,53752,2014.0
39174,7687,50191,December,12572,9242,Mississippi,46861,59433,2014.0
48610,7183,41246,March,-6054,8493,Mississippi,55793,49739,2015.0
44163,7301,45969,June,4767,10262,Mississippi,51464,56231,2015.0
42100,9448,46365,September,3046,8229,Mississippi,51548,54594,2015.0
39962,8080,52658,December,14348,9732,Mississippi,48042,62390,2015.0
46810,8313,42300,March,-3395,9428,Mississippi,55123,51728,2016.0
50643,7499,41621,June,-7627,8894,Mississippi,58142,50515,2016.0
41084,8392,46079,September,6550,9947,Mississippi,49476,56026,2016.0
42150,8068,45519,December,6393,11092,Mississippi,50218,56611,2016.0
44518,7698,41350,March,-702,10164,Mississippi,52216,51514,2017.0
45139,7936,42457,June,-484,10134,Mississippi,53075,52591,2017.0
43325,9042,43597,September,-1322,7448,Mississippi,52367,51045,2017.0
40176,8525,47841,December,8304,9164,Mississippi,48701,57005,2017.0
104453,23595,115756,September,21962,34254,Missouri,128048,150010,1992.0
114529,29723,107672,December,-6817,29763,Missouri,144252,137435,1992.0
114413,25843,116101,March,6296,30451,Missouri,140256,146552,1993.0
98123,24737,121945,June,31301,32216,Missouri,122860,154161,1993.0
112706,27639,125598,September,19022,33769,Missouri,140345,159367,1993.0
112025,25299,120793,December,15082,31613,Missouri,137324,152406,1993.0
110803,27184,123579,March,14013,28421,Missouri,137987,152000,1994.0
109435,28139,127523,June,19220,29271,Missouri,137574,156794,1994.0
112136,33349,135442,September,29048,39091,Missouri,145485,174533,1994.0
117943,27250,122120,December,14395,37468,Missouri,145193,159588,1994.0
128013,27694,133566,March,10554,32695,Missouri,155707,166261,1995.0
129486,30916,122544,June,-4614,33244,Missouri,160402,155788,1995.0
114755,32562,137908,September,26240,35649,Missouri,147317,173557,1995.0
126248,37877,126115,December,-3433,34577,Missouri,164125,160692,1995.0
122877,31541,124867,March,10781,40332,Missouri,154418,165199,1996.0
122678,35777,120374,June,2514,40595,Missouri,158455,160969,1996.0
115225,38586,132922,September,22686,43575,Missouri,153811,176497,1996.0
122890,30576,129842,December,14120,37744,Missouri,153466,167586,1996.0
120627,23309,129036,March,29643,44543,Missouri,143936,173579,1997.0
121624,24222,122910,June,1026,23962,Missouri,145846,146872,1997.0
120431,22418,129281,September,14985,28553,Missouri,142849,157834,1997.0
123952,30060,132395,December,13205,34822,Missouri,154012,167217,1997.0
133369,27660,137742,March,14843,38130,Missouri,161029,175872,1998.0
133533,38599,134772,June,5168,42528,Missouri,172132,177300,1998.0
122865,32611,129495,September,3797,29778,Missouri,155476,159273,1998.0
121532,32304,133876,December,11520,31480,Missouri,153836,165356,1998.0
127608,35944,126875,March,4270,40947,Missouri,163552,167822,1999.0
124165,26692,129365,June,9999,31491,Missouri,150857,160856,1999.0
123683,27402,132794,September,10489,28780,Missouri,151085,161574,1999.0
125773,26882,134338,December,9594,27911,Missouri,152655,162249,1999.0
127379,28474,135655,March,6768,26966,Missouri,155853,162621,2000.0
128657,26132,130303,June,2744,27230,Missouri,154789,157533,2000.0
138850,35533,135690,September,-7697,30996,Missouri,174383,166686,2000.0
135016,29046,125933,December,-10759,27370,Missouri,164062,153303,2000.0
122942,27075,128058,March,8191,30150,Missouri,150017,158208,2001.0
137146,31125,120022,June,-19883,28366,Missouri,168271,148388,2001.0
134222,31210,116118,September,-21724,27590,Missouri,165432,143708,2001.0
126976,34418,117807,December,-17743,25844,Missouri,161394,143651,2001.0
125033,27205,119761,March,6050,38527,Missouri,152238,158288,2002.0
127791,32166,123745,June,-2655,33557,Missouri,159957,157302,2002.0
121817,23558,118741,September,3004,29638,Missouri,145375,148379,2002.0
120443,29072,113628,December,-9372,26515,Missouri,149515,140143,2002.0
124506,27234,111080,March,-12903,27757,Missouri,151740,138837,2003.0
122534,28588,114165,June,-8304,28653,Missouri,151122,142818,2003.0
113955,27855,118652,September,2852,26010,Missouri,141810,144662,2003.0
118657,24468,114224,December,-3265,25636,Missouri,143125,139860,2003.0
115013,29651,128068,March,11650,28246,Missouri,144664,156314,2004.0
109459,27639,117966,June,10408,29540,Missouri,137098,147506,2004.0
115221,29450,118071,September,1064,27664,Missouri,144671,145735,2004.0
108095,20814,117639,December,14296,25566,Missouri,128909,143205,2004.0
113973,27417,124647,March,13066,29809,Missouri,141390,154456,2005.0
111765,25694,114461,June,2545,25543,Missouri,137459,140004,2005.0
111983,21610,117388,September,11129,27334,Missouri,133593,144722,2005.0
114736,24393,117710,December,5176,26595,Missouri,139129,144305,2005.0
107641,26081,125934,March,17361,25149,Missouri,133722,151083,2006.0
123017,21674,115342,June,4539,33888,Missouri,144691,149230,2006.0
118674,22430,112568,September,-3683,24853,Missouri,141104,137421,2006.0
114648,29496,121464,December,6891,29571,Missouri,144144,151035,2006.0
112959,25530,125426,March,15901,28964,Missouri,138489,154390,2007.0
123051,23283,114405,June,-6173,25756,Missouri,146334,140161,2007.0
121098,22536,117003,September,2683,29314,Missouri,143634,146317,2007.0
116275,23043,119024,December,536,20830,Missouri,139318,139854,2007.0
118298,23456,113612,March,1698,29840,Missouri,141754,143452,2008.0
123442,26331,115873,June,-9599,24301,Missouri,149773,140174,2008.0
125656,19584,112790,September,-12396,20054,Missouri,145240,132844,2008.0
140240,28967,105471,December,-36607,27129,Missouri,169207,132600,2008.0
136062,28795,101940,March,-39629,23288,Missouri,164857,125228,2009.0
134337,22203,99252,June,-34819,22469,Missouri,156540,121721,2009.0
117605,24570,102576,September,-17565,22034,Missouri,142175,124610,2009.0
112419,19885,103743,December,-8627,19934,Missouri,132304,123677,2009.0
106542,25135,109819,March,-4832,17026,Missouri,131677,126845,2010.0
107669,21214,106945,June,1697,23635,Missouri,128883,130580,2010.0
101984,21031,103091,September,4892,24816,Missouri,123015,127907,2010.0
102602,17363,103886,December,4953,21032,Missouri,119965,124918,2010.0
96789,24864,103503,March,4517,22667,Missouri,121653,126170,2011.0
104895,18970,105915,June,6380,24330,Missouri,123865,130245,2011.0
104155,18877,108745,September,8113,22400,Missouri,123032,131145,2011.0
102245,19533,106552,December,8392,23618,Missouri,121778,130170,2011.0
100430,18159,109657,March,12949,21881,Missouri,118589,131538,2012.0
108473,28845,109770,June,-2056,25492,Missouri,137318,135262,2012.0
109116,20374,104872,September,393,25011,Missouri,129490,129883,2012.0
103716,19774,113031,December,15803,26262,Missouri,123490,139293,2012.0
103809,20518,109454,March,7400,22273,Missouri,124327,131727,2013.0
100102,18418,111275,June,13171,20416,Missouri,118520,131691,2013.0
106159,19267,106706,September,4366,23086,Missouri,125426,129792,2013.0
103834,20308,109828,December,8424,22738,Missouri,124142,132566,2013.0
104254,19698,103686,March,1302,21568,Missouri,123952,125254,2014.0
101295,18734,112923,June,14634,21740,Missouri,120029,134663,2014.0
106796,19731,104713,September,-246,21568,Missouri,126527,126281,2014.0
97489,18819,117828,December,25992,24472,Missouri,116308,142300,2014.0
102781,21156,106140,March,3595,21392,Missouri,123937,127532,2015.0
100981,18809,115059,June,19183,23914,Missouri,119790,138973,2015.0
106228,20640,108639,September,4550,22779,Missouri,126868,131418,2015.0
101187,19600,119718,December,24306,25375,Missouri,120787,145093,2015.0
105732,19791,109506,March,5839,21856,Missouri,125523,131362,2016.0
108124,19644,111939,June,5964,21793,Missouri,127768,133732,2016.0
107747,17583,111391,September,6772,20711,Missouri,125330,132102,2016.0
108933,24274,108450,December,860,25617,Missouri,133207,134067,2016.0
100207,16117,110951,March,21850,27223,Missouri,116324,138174,2017.0
108852,23759,109598,June,1335,24348,Missouri,132611,133946,2017.0
110996,27476,111808,September,1767,28431,Missouri,138472,140239,2017.0
101018,25718,110082,December,7125,23779,Missouri,126736,133861,2017.0
104453,23595,115756,September,21962,34254,Missouri,128048,150010,1992.0
114529,29723,107672,December,-6817,29763,Missouri,144252,137435,1992.0
114413,25843,116101,March,6296,30451,Missouri,140256,146552,1993.0
98123,24737,121945,June,31301,32216,Missouri,122860,154161,1993.0
112706,27639,125598,September,19022,33769,Missouri,140345,159367,1993.0
112025,25299,120793,December,15082,31613,Missouri,137324,152406,1993.0
110803,27184,123579,March,14013,28421,Missouri,137987,152000,1994.0
109435,28139,127523,June,19220,29271,Missouri,137574,156794,1994.0
112136,33349,135442,September,29048,39091,Missouri,145485,174533,1994.0
117943,27250,122120,December,14395,37468,Missouri,145193,159588,1994.0
128013,27694,133566,March,10554,32695,Missouri,155707,166261,1995.0
129486,30916,122544,June,-4614,33244,Missouri,160402,155788,1995.0
114755,32562,137908,September,26240,35649,Missouri,147317,173557,1995.0
126248,37877,126115,December,-3433,34577,Missouri,164125,160692,1995.0
122877,31541,124867,March,10781,40332,Missouri,154418,165199,1996.0
122678,35777,120374,June,2514,40595,Missouri,158455,160969,1996.0
115225,38586,132922,September,22686,43575,Missouri,153811,176497,1996.0
122890,30576,129842,December,14120,37744,Missouri,153466,167586,1996.0
120627,23309,129036,March,29643,44543,Missouri,143936,173579,1997.0
121624,24222,122910,June,1026,23962,Missouri,145846,146872,1997.0
120431,22418,129281,September,14985,28553,Missouri,142849,157834,1997.0
123952,30060,132395,December,13205,34822,Missouri,154012,167217,1997.0
133369,27660,137742,March,14843,38130,Missouri,161029,175872,1998.0
133533,38599,134772,June,5168,42528,Missouri,172132,177300,1998.0
122865,32611,129495,September,3797,29778,Missouri,155476,159273,1998.0
121532,32304,133876,December,11520,31480,Missouri,153836,165356,1998.0
127608,35944,126875,March,4270,40947,Missouri,163552,167822,1999.0
124165,26692,129365,June,9999,31491,Missouri,150857,160856,1999.0
123683,27402,132794,September,10489,28780,Missouri,151085,161574,1999.0
125773,26882,134338,December,9594,27911,Missouri,152655,162249,1999.0
127379,28474,135655,March,6768,26966,Missouri,155853,162621,2000.0
128657,26132,130303,June,2744,27230,Missouri,154789,157533,2000.0
138850,35533,135690,September,-7697,30996,Missouri,174383,166686,2000.0
135016,29046,125933,December,-10759,27370,Missouri,164062,153303,2000.0
122942,27075,128058,March,8191,30150,Missouri,150017,158208,2001.0
137146,31125,120022,June,-19883,28366,Missouri,168271,148388,2001.0
134222,31210,116118,September,-21724,27590,Missouri,165432,143708,2001.0
126976,34418,117807,December,-17743,25844,Missouri,161394,143651,2001.0
125033,27205,119761,March,6050,38527,Missouri,152238,158288,2002.0
127791,32166,123745,June,-2655,33557,Missouri,159957,157302,2002.0
121817,23558,118741,September,3004,29638,Missouri,145375,148379,2002.0
120443,29072,113628,December,-9372,26515,Missouri,149515,140143,2002.0
124506,27234,111080,March,-12903,27757,Missouri,151740,138837,2003.0
122534,28588,114165,June,-8304,28653,Missouri,151122,142818,2003.0
113955,27855,118652,September,2852,26010,Missouri,141810,144662,2003.0
118657,24468,114224,December,-3265,25636,Missouri,143125,139860,2003.0
115013,29651,128068,March,11650,28246,Missouri,144664,156314,2004.0
109459,27639,117966,June,10408,29540,Missouri,137098,147506,2004.0
115221,29450,118071,September,1064,27664,Missouri,144671,145735,2004.0
108095,20814,117639,December,14296,25566,Missouri,128909,143205,2004.0
113973,27417,124647,March,13066,29809,Missouri,141390,154456,2005.0
111765,25694,114461,June,2545,25543,Missouri,137459,140004,2005.0
111983,21610,117388,September,11129,27334,Missouri,133593,144722,2005.0
114736,24393,117710,December,5176,26595,Missouri,139129,144305,2005.0
107641,26081,125934,March,17361,25149,Missouri,133722,151083,2006.0
123017,21674,115342,June,4539,33888,Missouri,144691,149230,2006.0
118674,22430,112568,September,-3683,24853,Missouri,141104,137421,2006.0
114648,29496,121464,December,6891,29571,Missouri,144144,151035,2006.0
112959,25530,125426,March,15901,28964,Missouri,138489,154390,2007.0
123051,23283,114405,June,-6173,25756,Missouri,146334,140161,2007.0
121098,22536,117003,September,2683,29314,Missouri,143634,146317,2007.0
116275,23043,119024,December,536,20830,Missouri,139318,139854,2007.0
118298,23456,113612,March,1698,29840,Missouri,141754,143452,2008.0
123442,26331,115873,June,-9599,24301,Missouri,149773,140174,2008.0
125656,19584,112790,September,-12396,20054,Missouri,145240,132844,2008.0
140240,28967,105471,December,-36607,27129,Missouri,169207,132600,2008.0
136062,28795,101940,March,-39629,23288,Missouri,164857,125228,2009.0
134337,22203,99252,June,-34819,22469,Missouri,156540,121721,2009.0
117605,24570,102576,September,-17565,22034,Missouri,142175,124610,2009.0
112419,19885,103743,December,-8627,19934,Missouri,132304,123677,2009.0
106542,25135,109819,March,-4832,17026,Missouri,131677,126845,2010.0
107669,21214,106945,June,1697,23635,Missouri,128883,130580,2010.0
101984,21031,103091,September,4892,24816,Missouri,123015,127907,2010.0
102602,17363,103886,December,4953,21032,Missouri,119965,124918,2010.0
96789,24864,103503,March,4517,22667,Missouri,121653,126170,2011.0
104895,18970,105915,June,6380,24330,Missouri,123865,130245,2011.0
104155,18877,108745,September,8113,22400,Missouri,123032,131145,2011.0
102245,19533,106552,December,8392,23618,Missouri,121778,130170,2011.0
100430,18159,109657,March,12949,21881,Missouri,118589,131538,2012.0
108473,28845,109770,June,-2056,25492,Missouri,137318,135262,2012.0
109116,20374,104872,September,393,25011,Missouri,129490,129883,2012.0
103716,19774,113031,December,15803,26262,Missouri,123490,139293,2012.0
103809,20518,109454,March,7400,22273,Missouri,124327,131727,2013.0
100102,18418,111275,June,13171,20416,Missouri,118520,131691,2013.0
106159,19267,106706,September,4366,23086,Missouri,125426,129792,2013.0
103834,20308,109828,December,8424,22738,Missouri,124142,132566,2013.0
104254,19698,103686,March,1302,21568,Missouri,123952,125254,2014.0
101295,18734,112923,June,14634,21740,Missouri,120029,134663,2014.0
106796,19731,104713,September,-246,21568,Missouri,126527,126281,2014.0
97489,18819,117828,December,25992,24472,Missouri,116308,142300,2014.0
102781,21156,106140,March,3595,21392,Missouri,123937,127532,2015.0
100981,18809,115059,June,19183,23914,Missouri,119790,138973,2015.0
106228,20640,108639,September,4550,22779,Missouri,126868,131418,2015.0
101187,19600,119718,December,24306,25375,Missouri,120787,145093,2015.0
105732,19791,109506,March,5839,21856,Missouri,125523,131362,2016.0
108124,19644,111939,June,5964,21793,Missouri,127768,133732,2016.0
107747,17583,111391,September,6772,20711,Missouri,125330,132102,2016.0
108933,24274,108450,December,860,25617,Missouri,133207,134067,2016.0
100207,16117,110951,March,21850,27223,Missouri,116324,138174,2017.0
108852,23759,109598,June,1335,24348,Missouri,132611,133946,2017.0
110996,27476,111808,September,1767,28431,Missouri,138472,140239,2017.0
101018,25718,110082,December,7125,23779,Missouri,126736,133861,2017.0
16615,4924,17402,September,1180,5317,Montana,21539,22719,1992.0
16603,4212,16543,December,-110,4162,Montana,20815,20705,1992.0
15809,4507,17197,March,2085,5204,Montana,20316,22401,1993.0
14977,4047,18879,June,5554,5699,Montana,19024,24578,1993.0
16601,4928,18204,September,3105,6430,Montana,21529,24634,1993.0
18185,5493,18558,December,377,5497,Montana,23678,24055,1993.0
17768,4140,18792,March,1936,5052,Montana,21908,23844,1994.0
15152,3966,19647,June,6541,6012,Montana,19118,25659,1994.0
16673,5823,21767,September,6207,6936,Montana,22496,28703,1994.0
19696,5852,19710,December,289,6127,Montana,25548,25837,1994.0
19857,4681,23044,March,3160,4654,Montana,24538,27698,1995.0
17075,7210,19833,June,1314,5766,Montana,24285,25599,1995.0
18318,3628,21559,September,5632,6019,Montana,21946,27578,1995.0
20081,4893,17755,December,-1674,5545,Montana,24974,23300,1995.0
20021,4396,20637,March,2345,6125,Montana,24417,26762,1996.0
19047,4942,20873,June,3049,6165,Montana,23989,27038,1996.0
19538,6424,21912,September,3581,7631,Montana,25962,29543,1996.0
21310,5656,19208,December,-1726,6032,Montana,26966,25240,1996.0
20796,5591,19365,March,-1582,5440,Montana,26387,24805,1997.0
18093,4983,21053,June,4971,6994,Montana,23076,28047,1997.0
20657,6049,21776,September,1935,6865,Montana,26706,28641,1997.0
20711,5321,20558,December,1783,7257,Montana,26032,27815,1997.0
21824,5995,21146,March,2015,8688,Montana,27819,29834,1998.0
21137,6572,21047,June,349,7011,Montana,27709,28058,1998.0
19619,5912,21864,September,3865,7532,Montana,25531,29396,1998.0
20382,4960,21981,December,2036,5397,Montana,25342,27378,1998.0
21287,5316,21941,March,1604,6266,Montana,26603,28207,1999.0
20488,7152,21556,June,145,6229,Montana,27640,27785,1999.0
19759,6496,22351,September,2870,6774,Montana,26255,29125,1999.0
19497,8286,21555,December,-1375,4853,Montana,27783,26408,1999.0
20294,5611,21948,March,5658,9615,Montana,25905,31563,2000.0
20730,8009,22526,June,736,6949,Montana,28739,29475,2000.0
22393,8079,23156,September,-599,6717,Montana,30472,29873,2000.0
21040,7475,21406,December,-1050,6059,Montana,28515,27465,2000.0
21276,7424,24053,March,5365,10012,Montana,28700,34065,2001.0
21988,6732,21660,June,-842,6218,Montana,28720,27878,2001.0
21808,7406,21748,September,-1259,6207,Montana,29214,27955,2001.0
20722,5102,20564,December,381,5641,Montana,25824,26205,2001.0
20831,5950,21418,March,1641,7004,Montana,26781,28422,2002.0
19781,5072,21783,June,3512,6582,Montana,24853,28365,2002.0
21424,8056,21492,September,-980,7008,Montana,29480,28500,2002.0
20768,5194,20789,December,1812,6985,Montana,25962,27774,2002.0
20608,6631,21415,March,1312,7136,Montana,27239,28551,2003.0
22096,7057,22096,June,-1086,5971,Montana,29153,28067,2003.0
21709,6798,22066,September,29,6470,Montana,28507,28536,2003.0
20576,6220,22517,December,3918,8197,Montana,26796,30714,2003.0
19520,5319,22405,March,3906,6340,Montana,24839,28745,2004.0
20851,5802,22953,June,2974,6674,Montana,26653,29627,2004.0
20941,5443,21025,September,537,5896,Montana,26384,26921,2004.0
20161,5254,24024,December,4787,6178,Montana,25415,30202,2004.0
20594,5734,24227,March,3871,5972,Montana,26328,30199,2005.0
22022,5955,22191,June,321,6107,Montana,27977,28298,2005.0
21177,4965,22913,September,3611,6840,Montana,26142,29753,2005.0
21390,5105,24176,December,3943,6262,Montana,26495,30438,2005.0
20813,5639,27517,March,6909,5844,Montana,26452,33361,2006.0
22929,4874,23952,June,2289,6140,Montana,27803,30092,2006.0
24488,5867,22357,September,-2615,5383,Montana,30355,27740,2006.0
21482,5281,26544,December,6010,6229,Montana,26763,32773,2006.0
21236,5431,27488,March,6806,5985,Montana,26667,33473,2007.0
25037,6053,23942,June,-1481,5667,Montana,31090,29609,2007.0
24673,5398,23480,September,-669,5922,Montana,30071,29402,2007.0
22786,5373,25206,December,4453,7406,Montana,28159,32612,2007.0
24866,5895,25409,March,846,6198,Montana,30761,31607,2008.0
26887,5918,22129,June,-5163,5513,Montana,32805,27642,2008.0
24091,5249,22303,September,-1420,5617,Montana,29340,27920,2008.0
25201,6125,21416,December,-3533,6377,Montana,31326,27793,2008.0
29005,7145,19297,March,-11681,5172,Montana,36150,24469,2009.0
23650,6159,20901,June,-2912,5996,Montana,29809,26897,2009.0
22434,5245,20032,September,-2190,5457,Montana,27679,25489,2009.0
23057,5556,22166,December,-559,5888,Montana,28613,28054,2009.0
21990,6042,20820,March,-1820,5392,Montana,28032,26212,2010.0
20685,5695,21006,June,436,5810,Montana,26380,26816,2010.0
19934,5170,21733,September,2162,5533,Montana,25104,27266,2010.0
22103,5366,21159,December,-221,6089,Montana,27469,27248,2010.0
19202,5556,20498,March,349,4609,Montana,24758,25107,2011.0
20580,5085,21419,June,1640,5886,Montana,25665,27305,2011.0
19474,4712,23246,September,4797,5737,Montana,24186,28983,2011.0
21286,5463,22095,December,1636,6290,Montana,26749,28385,2011.0
20483,5612,22308,March,1480,5267,Montana,26095,27575,2012.0
21303,4972,22799,June,2530,6006,Montana,26275,28805,2012.0
20620,5050,21726,September,1905,5849,Montana,25670,27575,2012.0
21417,5938,22649,December,1566,6272,Montana,27355,28921,2012.0
21196,5515,22796,March,2069,5984,Montana,26711,28780,2013.0
22361,5063,22710,June,1062,5776,Montana,27424,28486,2013.0
21872,5034,21749,September,563,5720,Montana,26906,27469,2013.0
21349,5316,23282,December,2852,6235,Montana,26665,29517,2013.0
21510,7106,21050,March,-2390,5176,Montana,28616,26226,2014.0
21565,5769,23286,June,2058,6106,Montana,27334,29392,2014.0
23229,5562,22317,September,167,6641,Montana,28791,28958,2014.0
20641,8310,24188,December,1561,6324,Montana,28951,30512,2014.0
21205,5159,22604,March,7211,10971,Montana,26364,33575,2015.0
22621,8089,23438,June,-1519,5753,Montana,30710,29191,2015.0
22891,5234,21651,September,-214,6260,Montana,28125,27911,2015.0
21945,4830,24821,December,4722,6676,Montana,26775,31497,2015.0
21563,5716,24039,March,1812,5052,Montana,27279,29091,2016.0
24638,7348,22735,June,-2427,6824,Montana,31986,29559,2016.0
22546,6057,22329,September,-226,6048,Montana,28603,28377,2016.0
22356,5486,22840,December,1234,6236,Montana,27842,29076,2016.0
21426,5375,24872,March,3547,5476,Montana,26801,30348,2017.0
23506,5600,23653,June,586,6039,Montana,29106,29692,2017.0
23417,6320,21216,September,-2930,5591,Montana,29737,26807,2017.0
22036,5725,25019,December,4066,6808,Montana,27761,31827,2017.0
16615,4924,17402,September,1180,5317,Montana,21539,22719,1992.0
16603,4212,16543,December,-110,4162,Montana,20815,20705,1992.0
15809,4507,17197,March,2085,5204,Montana,20316,22401,1993.0
14977,4047,18879,June,5554,5699,Montana,19024,24578,1993.0
16601,4928,18204,September,3105,6430,Montana,21529,24634,1993.0
18185,5493,18558,December,377,5497,Montana,23678,24055,1993.0
17768,4140,18792,March,1936,5052,Montana,21908,23844,1994.0
15152,3966,19647,June,6541,6012,Montana,19118,25659,1994.0
16673,5823,21767,September,6207,6936,Montana,22496,28703,1994.0
19696,5852,19710,December,289,6127,Montana,25548,25837,1994.0
19857,4681,23044,March,3160,4654,Montana,24538,27698,1995.0
17075,7210,19833,June,1314,5766,Montana,24285,25599,1995.0
18318,3628,21559,September,5632,6019,Montana,21946,27578,1995.0
20081,4893,17755,December,-1674,5545,Montana,24974,23300,1995.0
20021,4396,20637,March,2345,6125,Montana,24417,26762,1996.0
19047,4942,20873,June,3049,6165,Montana,23989,27038,1996.0
19538,6424,21912,September,3581,7631,Montana,25962,29543,1996.0
21310,5656,19208,December,-1726,6032,Montana,26966,25240,1996.0
20796,5591,19365,March,-1582,5440,Montana,26387,24805,1997.0
18093,4983,21053,June,4971,6994,Montana,23076,28047,1997.0
20657,6049,21776,September,1935,6865,Montana,26706,28641,1997.0
20711,5321,20558,December,1783,7257,Montana,26032,27815,1997.0
21824,5995,21146,March,2015,8688,Montana,27819,29834,1998.0
21137,6572,21047,June,349,7011,Montana,27709,28058,1998.0
19619,5912,21864,September,3865,7532,Montana,25531,29396,1998.0
20382,4960,21981,December,2036,5397,Montana,25342,27378,1998.0
21287,5316,21941,March,1604,6266,Montana,26603,28207,1999.0
20488,7152,21556,June,145,6229,Montana,27640,27785,1999.0
19759,6496,22351,September,2870,6774,Montana,26255,29125,1999.0
19497,8286,21555,December,-1375,4853,Montana,27783,26408,1999.0
20294,5611,21948,March,5658,9615,Montana,25905,31563,2000.0
20730,8009,22526,June,736,6949,Montana,28739,29475,2000.0
22393,8079,23156,September,-599,6717,Montana,30472,29873,2000.0
21040,7475,21406,December,-1050,6059,Montana,28515,27465,2000.0
21276,7424,24053,March,5365,10012,Montana,28700,34065,2001.0
21988,6732,21660,June,-842,6218,Montana,28720,27878,2001.0
21808,7406,21748,September,-1259,6207,Montana,29214,27955,2001.0
20722,5102,20564,December,381,5641,Montana,25824,26205,2001.0
20831,5950,21418,March,1641,7004,Montana,26781,28422,2002.0
