contract_establish,end_establish,expand_establish,month,net_change,open_establish,state,total_contract,total_expand,year
99994,14703,126236,June,29022,17483,Tennessee,114697,143719,2015.0
109262,15301,120233,September,15039,19369,Tennessee,124563,139602,2015.0
102079,14072,134138,December,36813,18826,Tennessee,116151,152964,2015.0
114189,14427,115477,March,3658,16797,Tennessee,128616,132274,2016.0
117467,15344,122669,June,9099,19241,Tennessee,132811,141910,2016.0
114061,16022,126490,September,17397,20990,Tennessee,130083,147480,2016.0
111256,14894,123713,December,18525,20962,Tennessee,126150,144675,2016.0
112439,10838,113022,March,5204,15459,Tennessee,123277,128481,2017.0
113952,15585,117662,June,6741,18616,Tennessee,129537,136278,2017.0
114739,13964,115323,September,5769,19149,Tennessee,128703,134472,2017.0
109224,14558,126434,December,23634,20982,Tennessee,123782,147416,2017.0
103040,25952,114649,September,14067,28410,Tennessee,128992,143059,1992.0
104457,17354,110997,December,17996,28810,Tennessee,121811,139807,1992.0
103766,26084,111039,March,11527,30338,Tennessee,129850,141377,1993.0
92643,16284,123680,June,33725,18972,Tennessee,108927,142652,1993.0
102513,18714,119476,September,20718,22469,Tennessee,121227,141945,1993.0
104150,18551,113861,December,15685,24525,Tennessee,122701,138386,1993.0
103841,24541,132406,March,25803,21779,Tennessee,128382,154185,1994.0
100784,16886,131876,June,34504,20298,Tennessee,117670,152174,1994.0
112675,17239,129334,September,24564,25144,Tennessee,129914,154478,1994.0
116762,16579,125072,December,12591,20860,Tennessee,133341,145932,1994.0
113936,20742,133551,March,21110,22237,Tennessee,134678,155788,1995.0
119958,20950,125748,June,13018,28178,Tennessee,140908,153926,1995.0
125128,20563,133426,September,13487,25752,Tennessee,145691,159178,1995.0
127483,21292,128066,December,14246,34955,Tennessee,148775,163021,1995.0
136093,23006,122678,March,-5563,30858,Tennessee,159099,153536,1996.0
124450,31766,124520,June,-5931,25765,Tennessee,156216,150285,1996.0
118626,20848,135262,September,30238,34450,Tennessee,139474,169712,1996.0
125456,27807,127585,December,-1029,24649,Tennessee,153263,152234,1996.0
125988,20867,131599,March,13279,28535,Tennessee,146855,160134,1997.0
121956,20726,130126,June,16537,29093,Tennessee,142682,159219,1997.0
124609,22593,141519,September,24772,30455,Tennessee,147202,171974,1997.0
131236,30711,136575,December,3257,28629,Tennessee,161947,165204,1997.0
130492,28772,138218,March,5049,26095,Tennessee,159264,164313,1998.0
130348,24028,143384,June,23615,34607,Tennessee,154376,177991,1998.0
130282,30497,137662,September,8852,31969,Tennessee,160779,169631,1998.0
127360,21802,134147,December,15260,30275,Tennessee,149162,164422,1998.0
137599,36759,144522,March,3561,33397,Tennessee,174358,177919,1999.0
127400,21949,133237,June,15196,31308,Tennessee,149349,164545,1999.0
125906,25111,149511,September,25591,27097,Tennessee,151017,176608,1999.0
129651,33398,141560,December,7850,29339,Tennessee,163049,170899,1999.0
134841,30646,146899,March,12564,31152,Tennessee,165487,178051,2000.0
128285,28809,138484,June,4005,22615,Tennessee,157094,161099,2000.0
135082,20953,134495,September,2743,24283,Tennessee,156035,158778,2000.0
140255,24403,121240,December,-20673,22745,Tennessee,164658,143985,2000.0
139712,24682,139103,March,-1268,24023,Tennessee,164394,163126,2001.0
142297,23955,120767,June,-21406,24079,Tennessee,166252,144846,2001.0
136742,25317,116210,September,-24184,21665,Tennessee,162059,137875,2001.0
138531,25392,112378,December,-27092,24453,Tennessee,163923,136831,2001.0
125289,28053,132764,March,4169,24747,Tennessee,153342,157511,2002.0
124179,27784,126557,June,193,25599,Tennessee,151963,152156,2002.0
118056,22937,130129,September,10652,21516,Tennessee,140993,151645,2002.0
130416,22488,118237,December,-7990,26677,Tennessee,152904,144914,2002.0
127371,24504,115439,March,-7106,29330,Tennessee,151875,144769,2003.0
117473,20375,115158,June,-1399,21291,Tennessee,137848,136449,2003.0
112611,20199,115843,September,6347,23314,Tennessee,132810,139157,2003.0
109814,25364,118411,December,6647,23414,Tennessee,135178,141825,2003.0
109085,20828,128750,March,23164,24327,Tennessee,129913,153077,2004.0
117705,18122,122108,June,6918,20637,Tennessee,135827,142745,2004.0
115408,21756,124357,September,8717,21524,Tennessee,137164,145881,2004.0
117222,19469,123829,December,10228,23090,Tennessee,136691,146919,2004.0
117169,21434,129921,March,15746,24428,Tennessee,138603,154349,2005.0
115713,20954,121471,June,6270,21466,Tennessee,136667,142937,2005.0
112864,22792,128419,September,17753,24990,Tennessee,135656,153409,2005.0
119783,18714,120691,December,5064,22870,Tennessee,138497,143561,2005.0
109124,19044,129201,March,24609,23576,Tennessee,128168,152777,2006.0
127131,24956,123148,June,-5734,23205,Tennessee,152087,146353,2006.0
121688,18835,123960,September,4373,20936,Tennessee,140523,144896,2006.0
126030,33141,129953,December,-6368,22850,Tennessee,159171,152803,2006.0
131626,15881,129933,March,9158,26732,Tennessee,147507,156665,2007.0
126310,17960,120268,June,-2782,21220,Tennessee,144270,141488,2007.0
119722,19237,119865,September,4674,23768,Tennessee,138959,143633,2007.0
118867,18709,118623,December,3099,22052,Tennessee,137576,140675,2007.0
131336,18141,124747,March,-3502,21228,Tennessee,149477,145975,2008.0
129931,23041,110872,June,-22471,19629,Tennessee,152972,130501,2008.0
139004,20559,106626,September,-33220,19717,Tennessee,159563,126343,2008.0
148266,19873,98531,December,-52105,17503,Tennessee,168139,116034,2008.0
147983,18554,88079,March,-62152,16306,Tennessee,166537,104385,2009.0
135846,19916,97548,June,-40469,17745,Tennessee,155762,115293,2009.0
115291,19074,100361,September,-17423,16581,Tennessee,134365,116942,2009.0
103787,16481,102081,December,-388,17799,Tennessee,120268,119880,2009.0
101977,14643,99389,March,-2640,14591,Tennessee,116620,113980,2010.0
101705,17518,112367,June,13561,20417,Tennessee,119223,132784,2010.0
108549,17591,107913,September,-2555,15672,Tennessee,126140,123585,2010.0
98991,15421,110477,December,13223,17158,Tennessee,114412,127635,2010.0
95820,13803,108176,March,14280,15727,Tennessee,109623,123903,2011.0
98253,13304,111443,June,16689,16803,Tennessee,111557,128246,2011.0
101492,14595,112095,September,14443,18435,Tennessee,116087,130530,2011.0
102586,15667,116437,December,14212,16028,Tennessee,118253,132465,2011.0
97205,15625,118966,March,22898,16762,Tennessee,112830,135728,2012.0
109922,15506,114928,June,8655,19155,Tennessee,125428,134083,2012.0
108023,15521,107975,September,1506,17075,Tennessee,123544,125050,2012.0
100272,15611,118226,December,20074,17731,Tennessee,115883,135957,2012.0
101980,14159,108259,March,10552,18432,Tennessee,116139,126691,2013.0
103583,18431,109927,June,5479,17566,Tennessee,122014,127493,2013.0
104087,14855,107897,September,6202,17247,Tennessee,118942,125144,2013.0
95655,14853,124504,December,31925,17929,Tennessee,110508,142433,2013.0
108788,13376,112090,March,5650,15724,Tennessee,122164,127814,2014.0
102883,15053,113016,June,13145,18065,Tennessee,117936,131081,2014.0
103841,15035,114344,September,14358,18890,Tennessee,118876,133234,2014.0
97628,16920,129128,December,32169,17589,Tennessee,114548,146717,2014.0
111919,14203,102520,March,-1938,21664,Tennessee,126122,124184,2015.0
99994,14703,126236,June,29022,17483,Tennessee,114697,143719,2015.0
109262,15301,120233,September,15039,19369,Tennessee,124563,139602,2015.0
102079,14072,134138,December,36813,18826,Tennessee,116151,152964,2015.0
114189,14427,115477,March,3658,16797,Tennessee,128616,132274,2016.0
117467,15344,122669,June,9099,19241,Tennessee,132811,141910,2016.0
114061,16022,126490,September,17397,20990,Tennessee,130083,147480,2016.0
111256,14894,123713,December,18525,20962,Tennessee,126150,144675,2016.0
112439,10838,113022,March,5204,15459,Tennessee,123277,128481,2017.0
113952,15585,117662,June,6741,18616,Tennessee,129537,136278,2017.0
114739,13964,115323,September,5769,19149,Tennessee,128703,134472,2017.0
109224,14558,126434,December,23634,20982,Tennessee,123782,147416,2017.0
336153,124940,356261,September,8388,113220,Texas,461093,469481,1992.0
338523,99806,342695,December,46680,142314,Texas,438329,485009,1992.0
338716,122629,356367,March,49577,154555,Texas,461345,510922,1993.0
329865,91577,370270,June,55313,106485,Texas,421442,476755,1993.0
337280,87275,383055,September,83149,124649,Texas,424555,507704,1993.0
343927,89048,362144,December,26061,96892,Texas,432975,459036,1993.0
354622,103337,372848,March,19178,104289,Texas,457959,477137,1994.0
335797,97080,398611,June,105009,139275,Texas,432877,537886,1994.0
360061,95458,393220,September,91279,153578,Texas,455519,546798,1994.0
362403,80310,372973,December,60632,130372,Texas,442713,503345,1994.0
368527,94370,402071,March,44793,105619,Texas,462897,507690,1995.0
371325,75902,395268,June,57796,109755,Texas,447227,505023,1995.0
358806,88492,395693,September,59367,110972,Texas,447298,506665,1995.0
368837,84146,402697,December,45349,95635,Texas,452983,498332,1995.0
363321,92717,387412,March,30059,98685,Texas,456038,486097,1996.0
353943,85298,394122,June,69489,114608,Texas,439241,508730,1996.0
374646,83811,395810,September,52503,115150,Texas,458457,510960,1996.0
371671,74221,397516,December,96518,144894,Texas,445892,542410,1996.0
377151,89082,422410,March,87059,130882,Texas,466233,553292,1997.0
374580,75796,435102,June,97616,112890,Texas,450376,547992,1997.0
386326,97117,458060,September,91851,117234,Texas,483443,575294,1997.0
397266,90434,446034,December,84690,126356,Texas,487700,572390,1997.0
407249,102510,469195,March,70765,111329,Texas,509759,580524,1998.0
392063,108812,453217,June,75750,123408,Texas,500875,576625,1998.0
397502,98104,458104,September,82018,119520,Texas,495606,577624,1998.0
415108,92911,462625,December,48104,93498,Texas,508019,556123,1998.0
426818,99159,459214,March,36746,103509,Texas,525977,562723,1999.0
466502,102253,462758,June,4994,110991,Texas,568755,573749,1999.0
398252,95400,446907,September,52054,98799,Texas,493652,545706,1999.0
412443,95032,461088,December,60507,106894,Texas,507475,567982,1999.0
401609,92864,471490,March,89855,112838,Texas,494473,584328,2000.0
402070,96706,472178,June,75482,102080,Texas,498776,574258,2000.0
425476,94715,465356,September,53898,108733,Texas,520191,574089,2000.0
424556,97762,445684,December,13485,90119,Texas,522318,535803,2000.0
430433,99384,453120,March,29805,106502,Texas,529817,559622,2001.0
466318,101485,431263,June,-21798,114742,Texas,567803,546005,2001.0
472396,116019,405841,September,-72279,110295,Texas,588415,516136,2001.0
488346,111871,394135,December,-92343,113739,Texas,600217,507874,2001.0
433088,106548,430896,March,6647,115387,Texas,539636,546283,2002.0
425691,109745,413476,June,-7642,114318,Texas,535436,527794,2002.0
433688,100465,405123,September,-11139,117891,Texas,534153,523014,2002.0
442268,105487,379421,December,-58030,110304,Texas,547755,489725,2002.0
418094,101178,401505,March,-23422,94345,Texas,519272,495850,2003.0
407497,98876,386856,June,-15682,103835,Texas,506373,490691,2003.0
383743,85617,397285,September,24201,96276,Texas,469360,493561,2003.0
402788,99941,408497,December,8827,103059,Texas,502729,511556,2003.0
373767,94710,409393,March,40877,99961,Texas,468477,509354,2004.0
382455,95857,405872,June,25046,97486,Texas,478312,503358,2004.0
369607,94893,413258,September,49662,100904,Texas,464500,514162,2004.0
369966,88464,418230,December,53413,93613,Texas,458430,511843,2004.0
378881,90645,431032,March,66884,105378,Texas,469526,536410,2005.0
380297,97020,424937,June,55013,107393,Texas,477317,532330,2005.0
368949,91080,457745,September,104435,106719,Texas,460029,564464,2005.0
383050,86111,451064,December,82265,100362,Texas,469161,551426,2005.0
370538,84387,463647,March,103638,94916,Texas,454925,558563,2006.0
418171,90558,452397,June,49179,105511,Texas,508729,557908,2006.0
396434,82571,449581,September,68539,97963,Texas,479005,547544,2006.0
392692,83093,455239,December,86140,106686,Texas,475785,561925,2006.0
402658,79792,466745,March,81406,97111,Texas,482450,563856,2007.0
402933,83755,461270,June,68953,94371,Texas,486688,555641,2007.0
417130,86043,445276,September,35876,93773,Texas,503173,539049,2007.0
399292,86232,467776,December,81895,99643,Texas,485524,567419,2007.0
407493,90451,445135,March,45484,98293,Texas,497944,543428,2008.0
432756,84005,430812,June,14095,100044,Texas,516761,530856,2008.0
448010,89340,416556,September,-32638,88156,Texas,537350,504712,2008.0
469455,92447,445070,December,-24045,92787,Texas,561902,537857,2008.0
536440,83718,351824,March,-180353,87981,Texas,620158,439805,2009.0
506687,79972,353244,June,-150138,83277,Texas,586659,436521,2009.0
433630,77168,362342,September,-72441,76015,Texas,510798,438357,2009.0
407644,75905,394194,December,-2008,87347,Texas,483549,481541,2009.0
380312,67370,390050,March,25318,82950,Texas,447682,473000,2010.0
371916,75274,417247,June,47334,77277,Texas,447190,494524,2010.0
371229,78217,416213,September,45936,79169,Texas,449446,495382,2010.0
362167,73866,433460,December,84584,87157,Texas,436033,520617,2010.0
363757,69371,415296,March,66934,84766,Texas,433128,500062,2011.0
371501,71148,430606,June,71727,83770,Texas,442649,514376,2011.0
374253,72095,459709,September,98911,85550,Texas,446348,545259,2011.0
385533,73493,431695,December,61313,88644,Texas,459026,520339,2011.0
378722,66159,451450,March,92707,86138,Texas,444881,537588,2012.0
389558,70829,465138,June,90878,86127,Texas,460387,551265,2012.0
397665,76074,446453,September,58128,85414,Texas,473739,531867,2012.0
379755,72368,461623,December,100287,90787,Texas,452123,552410,2012.0
403825,67172,454947,March,71887,87937,Texas,470997,542884,2013.0
393750,76300,450281,June,65946,85715,Texas,470050,535996,2013.0
410892,73967,461992,September,66298,89165,Texas,484859,551157,2013.0
408199,79851,472937,December,76346,91459,Texas,488050,564396,2013.0
406516,75141,467598,March,77923,91982,Texas,481657,559580,2014.0
391208,80682,484837,June,101116,88169,Texas,471890,573006,2014.0
416556,75525,485468,September,84985,91598,Texas,492081,577066,2014.0
399103,83008,522071,December,137952,97992,Texas,482111,620063,2014.0
477173,79082,459542,March,7417,104130,Texas,556255,563672,2015.0
466628,80749,487139,June,34230,94468,Texas,547377,581607,2015.0
466548,83315,493496,September,36488,92855,Texas,549863,586351,2015.0
454742,89346,506645,December,57217,94660,Texas,544088,601305,2015.0
481551,90249,436152,March,-36296,99352,Texas,571800,535504,2016.0
459312,86236,461580,June,24101,108069,Texas,545548,569649,2016.0
453606,87646,505110,September,76205,112347,Texas,541252,617457,2016.0
451103,87623,486154,December,50076,102648,Texas,538726,588802,2016.0
438476,80900,483576,March,61040,96840,Texas,519376,580416,2017.0
453039,86149,488811,June,48882,99259,Texas,539188,588070,2017.0
480360,99271,493496,September,15984,102119,Texas,579631,595615,2017.0
434454,103002,533139,December,103721,108038,Texas,537456,641177,2017.0
336153,124940,356261,September,8388,113220,Texas,461093,469481,1992.0
338523,99806,342695,December,46680,142314,Texas,438329,485009,1992.0
338716,122629,356367,March,49577,154555,Texas,461345,510922,1993.0
329865,91577,370270,June,55313,106485,Texas,421442,476755,1993.0
337280,87275,383055,September,83149,124649,Texas,424555,507704,1993.0
343927,89048,362144,December,26061,96892,Texas,432975,459036,1993.0
354622,103337,372848,March,19178,104289,Texas,457959,477137,1994.0
335797,97080,398611,June,105009,139275,Texas,432877,537886,1994.0
360061,95458,393220,September,91279,153578,Texas,455519,546798,1994.0
362403,80310,372973,December,60632,130372,Texas,442713,503345,1994.0
368527,94370,402071,March,44793,105619,Texas,462897,507690,1995.0
371325,75902,395268,June,57796,109755,Texas,447227,505023,1995.0
358806,88492,395693,September,59367,110972,Texas,447298,506665,1995.0
368837,84146,402697,December,45349,95635,Texas,452983,498332,1995.0
363321,92717,387412,March,30059,98685,Texas,456038,486097,1996.0
353943,85298,394122,June,69489,114608,Texas,439241,508730,1996.0
374646,83811,395810,September,52503,115150,Texas,458457,510960,1996.0
371671,74221,397516,December,96518,144894,Texas,445892,542410,1996.0
377151,89082,422410,March,87059,130882,Texas,466233,553292,1997.0
374580,75796,435102,June,97616,112890,Texas,450376,547992,1997.0
386326,97117,458060,September,91851,117234,Texas,483443,575294,1997.0
397266,90434,446034,December,84690,126356,Texas,487700,572390,1997.0
407249,102510,469195,March,70765,111329,Texas,509759,580524,1998.0
392063,108812,453217,June,75750,123408,Texas,500875,576625,1998.0
397502,98104,458104,September,82018,119520,Texas,495606,577624,1998.0
415108,92911,462625,December,48104,93498,Texas,508019,556123,1998.0
426818,99159,459214,March,36746,103509,Texas,525977,562723,1999.0
466502,102253,462758,June,4994,110991,Texas,568755,573749,1999.0
398252,95400,446907,September,52054,98799,Texas,493652,545706,1999.0
412443,95032,461088,December,60507,106894,Texas,507475,567982,1999.0
401609,92864,471490,March,89855,112838,Texas,494473,584328,2000.0
402070,96706,472178,June,75482,102080,Texas,498776,574258,2000.0
425476,94715,465356,September,53898,108733,Texas,520191,574089,2000.0
424556,97762,445684,December,13485,90119,Texas,522318,535803,2000.0
430433,99384,453120,March,29805,106502,Texas,529817,559622,2001.0
466318,101485,431263,June,-21798,114742,Texas,567803,546005,2001.0
472396,116019,405841,September,-72279,110295,Texas,588415,516136,2001.0
488346,111871,394135,December,-92343,113739,Texas,600217,507874,2001.0
433088,106548,430896,March,6647,115387,Texas,539636,546283,2002.0
425691,109745,413476,June,-7642,114318,Texas,535436,527794,2002.0
433688,100465,405123,September,-11139,117891,Texas,534153,523014,2002.0
442268,105487,379421,December,-58030,110304,Texas,547755,489725,2002.0
418094,101178,401505,March,-23422,94345,Texas,519272,495850,2003.0
407497,98876,386856,June,-15682,103835,Texas,506373,490691,2003.0
383743,85617,397285,September,24201,96276,Texas,469360,493561,2003.0
402788,99941,408497,December,8827,103059,Texas,502729,511556,2003.0
373767,94710,409393,March,40877,99961,Texas,468477,509354,2004.0
382455,95857,405872,June,25046,97486,Texas,478312,503358,2004.0
369607,94893,413258,September,49662,100904,Texas,464500,514162,2004.0
369966,88464,418230,December,53413,93613,Texas,458430,511843,2004.0
378881,90645,431032,March,66884,105378,Texas,469526,536410,2005.0
380297,97020,424937,June,55013,107393,Texas,477317,532330,2005.0
368949,91080,457745,September,104435,106719,Texas,460029,564464,2005.0
383050,86111,451064,December,82265,100362,Texas,469161,551426,2005.0
370538,84387,463647,March,103638,94916,Texas,454925,558563,2006.0
418171,90558,452397,June,49179,105511,Texas,508729,557908,2006.0
396434,82571,449581,September,68539,97963,Texas,479005,547544,2006.0
392692,83093,455239,December,86140,106686,Texas,475785,561925,2006.0
402658,79792,466745,March,81406,97111,Texas,482450,563856,2007.0
402933,83755,461270,June,68953,94371,Texas,486688,555641,2007.0
417130,86043,445276,September,35876,93773,Texas,503173,539049,2007.0
399292,86232,467776,December,81895,99643,Texas,485524,567419,2007.0
407493,90451,445135,March,45484,98293,Texas,497944,543428,2008.0
432756,84005,430812,June,14095,100044,Texas,516761,530856,2008.0
448010,89340,416556,September,-32638,88156,Texas,537350,504712,2008.0
469455,92447,445070,December,-24045,92787,Texas,561902,537857,2008.0
536440,83718,351824,March,-180353,87981,Texas,620158,439805,2009.0
506687,79972,353244,June,-150138,83277,Texas,586659,436521,2009.0
433630,77168,362342,September,-72441,76015,Texas,510798,438357,2009.0
407644,75905,394194,December,-2008,87347,Texas,483549,481541,2009.0
380312,67370,390050,March,25318,82950,Texas,447682,473000,2010.0
371916,75274,417247,June,47334,77277,Texas,447190,494524,2010.0
371229,78217,416213,September,45936,79169,Texas,449446,495382,2010.0
362167,73866,433460,December,84584,87157,Texas,436033,520617,2010.0
363757,69371,415296,March,66934,84766,Texas,433128,500062,2011.0
371501,71148,430606,June,71727,83770,Texas,442649,514376,2011.0
374253,72095,459709,September,98911,85550,Texas,446348,545259,2011.0
385533,73493,431695,December,61313,88644,Texas,459026,520339,2011.0
378722,66159,451450,March,92707,86138,Texas,444881,537588,2012.0
389558,70829,465138,June,90878,86127,Texas,460387,551265,2012.0
397665,76074,446453,September,58128,85414,Texas,473739,531867,2012.0
379755,72368,461623,December,100287,90787,Texas,452123,552410,2012.0
403825,67172,454947,March,71887,87937,Texas,470997,542884,2013.0
393750,76300,450281,June,65946,85715,Texas,470050,535996,2013.0
410892,73967,461992,September,66298,89165,Texas,484859,551157,2013.0
408199,79851,472937,December,76346,91459,Texas,488050,564396,2013.0
406516,75141,467598,March,77923,91982,Texas,481657,559580,2014.0
391208,80682,484837,June,101116,88169,Texas,471890,573006,2014.0
416556,75525,485468,September,84985,91598,Texas,492081,577066,2014.0
399103,83008,522071,December,137952,97992,Texas,482111,620063,2014.0
477173,79082,459542,March,7417,104130,Texas,556255,563672,2015.0
466628,80749,487139,June,34230,94468,Texas,547377,581607,2015.0
466548,83315,493496,September,36488,92855,Texas,549863,586351,2015.0
454742,89346,506645,December,57217,94660,Texas,544088,601305,2015.0
481551,90249,436152,March,-36296,99352,Texas,571800,535504,2016.0
459312,86236,461580,June,24101,108069,Texas,545548,569649,2016.0
453606,87646,505110,September,76205,112347,Texas,541252,617457,2016.0
451103,87623,486154,December,50076,102648,Texas,538726,588802,2016.0
438476,80900,483576,March,61040,96840,Texas,519376,580416,2017.0
453039,86149,488811,June,48882,99259,Texas,539188,588070,2017.0
480360,99271,493496,September,15984,102119,Texas,579631,595615,2017.0
434454,103002,533139,December,103721,108038,Texas,537456,641177,2017.0
34750,7226,41435,September,9001,9542,Utah,41976,50977,1992.0
36184,8771,41154,December,6387,10188,Utah,44955,51342,1992.0
36576,8416,41178,March,8988,12802,Utah,44992,53980,1993.0
34444,8683,46355,June,14326,11098,Utah,43127,57453,1993.0
35287,10703,45974,September,12679,12695,Utah,45990,58669,1993.0
36485,8672,45157,December,10491,10491,Utah,45157,55648,1993.0
38832,8182,45234,March,10291,12071,Utah,47014,57305,1994.0
36486,9602,48031,June,14858,12915,Utah,46088,60946,1994.0
40062,11121,50839,September,13513,13857,Utah,51183,64696,1994.0
43245,9176,47824,December,7207,11804,Utah,52421,59628,1994.0
41904,10100,50503,March,13243,14744,Utah,52004,65247,1995.0
43252,10668,50174,June,9135,12881,Utah,53920,63055,1995.0
42143,9310,53681,September,18323,16095,Utah,51453,69776,1995.0
47138,10465,52833,December,8856,13626,Utah,57603,66459,1995.0
50690,8658,54965,March,10259,14642,Utah,59348,69607,1996.0
47516,11603,53261,June,10153,16011,Utah,59119,69272,1996.0
48868,11684,56666,September,12424,16310,Utah,60552,72976,1996.0
48808,11711,53516,December,8205,15208,Utah,60519,68724,1996.0
48237,12835,54563,March,11542,18051,Utah,61072,72614,1997.0
51103,11500,53381,June,5447,14669,Utah,62603,68050,1997.0
51514,11462,56099,September,8242,15119,Utah,62976,71218,1997.0
51606,11391,53880,December,5071,14188,Utah,62997,68068,1997.0
50782,13658,56261,March,7244,15423,Utah,64440,71684,1998.0
51622,12346,53441,June,6933,17460,Utah,63968,70901,1998.0
50879,13888,55059,September,7004,16712,Utah,64767,71771,1998.0
54980,12990,56683,December,4139,15426,Utah,67970,72109,1998.0
53377,14872,56656,March,7205,18798,Utah,68249,75454,1999.0
50642,11937,55290,June,7636,14925,Utah,62579,70215,1999.0
53882,13069,55152,September,5359,17158,Utah,66951,72310,1999.0
53411,14744,57912,December,5396,15639,Utah,68155,73551,1999.0
54161,14019,58369,March,6492,16303,Utah,68180,74672,2000.0
51859,13342,56824,June,6221,14598,Utah,65201,71422,2000.0
54671,13372,56407,September,5047,16683,Utah,68043,73090,2000.0
53789,12518,57858,December,5944,14393,Utah,66307,72251,2000.0
56085,14771,53450,March,237,17643,Utah,70856,71093,2001.0
58720,15583,53697,June,-4136,16470,Utah,74303,70167,2001.0
57947,15596,53724,September,-5522,14297,Utah,73543,68021,2001.0
61983,15614,52763,December,-10139,14695,Utah,77597,67458,2001.0
57984,13983,56623,March,-88,15256,Utah,71967,71879,2002.0
55874,14564,53092,June,-1507,15839,Utah,70438,68931,2002.0
52612,16159,51017,September,-1334,16420,Utah,68771,67437,2002.0
52127,12843,51313,December,2371,16028,Utah,64970,67341,2002.0
55903,14489,49392,March,-5562,15438,Utah,70392,64830,2003.0
49744,13435,51113,June,2835,14901,Utah,63179,66014,2003.0
49608,12350,51121,September,4593,15430,Utah,61958,66551,2003.0
47591,12754,55935,December,10296,14706,Utah,60345,70641,2003.0
51421,13364,55229,March,6572,16128,Utah,64785,71357,2004.0
48315,14984,57613,June,9851,15537,Utah,63299,73150,2004.0
53081,12213,54622,September,5573,16245,Utah,65294,70867,2004.0
49053,13361,57263,December,10546,15697,Utah,62414,72960,2004.0
50233,12947,58466,March,11460,16174,Utah,63180,74640,2005.0
50625,17171,57702,June,5197,15291,Utah,67796,72993,2005.0
49096,12157,62467,September,18016,16802,Utah,61253,79269,2005.0
54360,11115,59879,December,10043,15639,Utah,65475,75518,2005.0
52086,13325,65814,March,19487,19084,Utah,65411,84898,2006.0
51559,13283,61480,June,12737,16099,Utah,64842,77579,2006.0
55494,12925,62286,September,9647,15780,Utah,68419,78066,2006.0
52825,12151,64088,December,15546,16434,Utah,64976,80522,2006.0
52101,12344,66827,March,18463,16081,Utah,64445,82908,2007.0
57179,13715,61852,June,5945,14987,Utah,70894,76839,2007.0
60468,16130,60556,September,-2315,13727,Utah,76598,74283,2007.0
61898,14111,66231,December,6108,15886,Utah,76009,82117,2007.0
59774,14188,59611,March,-660,13691,Utah,73962,73302,2008.0
62898,15374,55909,June,-8185,14178,Utah,78272,70087,2008.0
61442,13162,53803,September,-5897,14904,Utah,74604,68707,2008.0
69543,15479,51003,December,-19705,14314,Utah,85022,65317,2008.0
