GeoName,year,Compensation of employees,Gross domestic product (GDP) by state,Gross operating surplus,Per capita real GDP by state,Quantity indexes for real GDP by state,Real GDP by state,Subsidies,Taxes on production and imports,Taxes on production and imports less subsidies
District of Columbia,2010,72427,104044,28817,168377,102.998,101904,-805,3605,2799
Florida,2010,399883,729761,263363,38314,100.051,722295,-2517,69032,66515
Georgia,2010,223497,407999,159637,41561,100.251,403740,-1178,26044,24866
Hawaii,2010,36795,67539,25504,48935,102.707,66745,-270,5509,5239
Idaho,2010,29139,55420,23315,34727,101.321,54543,-345,3311,2966
Illinois,2010,360982,653164,247167,50290,100.901,645733,-2689,47704,45015
Indiana,2010,142831,283111,123384,43130,106.283,279927,-868,17764,16897
Iowa,2010,72526,141382,60695,45779,102.228,139639,-1010,9170,8161
Kansas,2010,70241,128589,50141,44236,103.298,126469,-801,9008,8207
Kentucky,2010,92071,165787,61913,37523,104.551,163218,-463,12265,11802
Louisiana,2010,104880,231372,112708,48305,104.806,219576,-746,14530,13784
Maine,2010,29435,51304,17475,38256,101.111,50780,-174,4567,4394
Maryland,2010,174011,314471,122847,53775,102.635,311257,-1118,18731,17612
Massachusetts,2010,230367,399270,149448,60311,103.433,395887,-1561,21016,19456
Michigan,2010,218924,387167,139315,38985,105.087,385039,-1114,30042,28927
Minnesota,2010,153846,271481,100072,50447,103.251,267895,-1244,18806,17563
Mississippi,2010,51448,94954,36338,31392,101.170,93260,-372,7539,7167
Missouri,2010,143201,255631,98357,42164,101.300,252817,-913,14987,14074
Montana,2010,19667,37801,15861,37156,103.372,36806,-260,2532,2272
Nebraska,2010,46730,91498,39854,49178,103.801,89989,-806,5720,4914
Nevada,2010,63836,119771,45900,43842,99.201,118527,-291,10326,10035
New Hampshire,2010,36141,62679,22221,47286,102.590,62252,-164,4481,4317
New Jersey,2010,268942,492990,182980,55469,100.855,488326,-1713,42781,41068
New Mexico,2010,42236,86195,38726,40316,100.678,83251,-289,5521,5233
New York,2010,653372,1208079,468379,61444,104.208,1192065,-6037,92366,86329
North Carolina,2010,217646,417375,170382,43281,101.182,413747,-1258,30606,29347
North Dakota,2010,18317,36033,15839,51943,108.230,35027,-595,2472,1877
Ohio,2010,275108,494736,187347,42299,102.141,488134,-1554,33835,32281
Oklahoma,2010,78286,151318,63326,38658,101.363,145334,-460,10165,9706
Oregon,2010,88614,191393,95379,49686,105.202,190650,-689,8089,7400
Pennsylvania,2010,331591,588276,219331,45731,102.382,581287,-2105,39459,37354
Rhode Island,2010,27587,49329,17977,46324,102.056,48782,-193,3957,3765
South Carolina,2010,92106,165237,61682,35366,101.815,163968,-473,11922,11449
South Dakota,2010,18069,38044,17779,45443,101.607,37090,-538,2734,2196
Tennessee,2010,136523,254343,99450,39664,101.945,252131,-719,19089,18370
Texas,2010,608451,1251494,552488,47746,102.894,1205374,-2798,93353,90555
Utah,2010,61982,119037,50759,41993,101.727,116503,-309,6605,6296
Vermont,2010,15113,26406,8883,41819,103.757,26170,-104,2514,2410
Virginia,2010,243184,423506,153473,52279,102.375,419556,-1070,27917,26848
Washington,2010,187415,362114,147649,53051,101.807,357663,-1493,28542,27049
West Virginia,2010,34451,66961,27446,35210,102.836,65285,-118,5182,5064
Wisconsin,2010,144139,253801,91805,44296,102.521,252013,-924,18782,17857
Wyoming,2010,15633,39093,19966,64625,98.004,36471,-79,3574,3494
Alabama,2011,99577,181923,71407,36448,103.199,175012,-481,11420,10939
Alaska,2011,24534,59318,27264,71233,101.895,51471,-124,7645,7521
Arizona,2011,139784,255621,97397,38442,102.355,248828,-781,19221,18440
Arkansas,2011,56789,109378,44961,35867,105.289,105392,-391,8019,7629
California,2011,1069679,2031348,829773,51936,102.322,1958105,-9023,140919,131896
Colorado,2011,143085,266796,106807,50069,102.501,256338,-927,17832,16904
Connecticut,2011,125681,232271,91591,63092,100.203,226534,-775,15773,14998
Delaware,2011,26860,59763,29775,63603,102.424,57741,-199,3326,3128
District of Columbia,2011,75491,108029,29801,167337,104.935,103820,-853,3590,2737
Florida,2011,407525,735244,262190,37529,99.332,717109,-2656,68185,65529
Georgia,2011,231996,418917,161152,41592,101.348,408155,-1250,27019,25769
Hawaii,2011,38480,69689,25580,49110,104.156,67686,-279,5907,5629
Idaho,2011,29523,57081,24395,34481,101.447,54611,-337,3500,3163
Illinois,2011,376472,679269,256230,51172,102.820,658012,-2998,49566,46568
Indiana,2011,148403,291890,127551,43109,106.661,280925,-1079,17014,15935
Iowa,2011,74841,149402,66142,46693,104.769,143109,-1243,9662,8419
Kansas,2011,72808,137654,55990,45697,107.121,131149,-898,9755,8857
Kentucky,2011,95268,172255,64820,38007,106.392,166091,-561,12727,12167
Louisiana,2011,106210,236958,115597,45813,100.062,209638,-695,15845,15151
Maine,2011,29900,51481,17193,37798,99.942,50193,-200,4587,4387
Maryland,2011,181320,323942,124741,54062,104.176,315930,-1205,19086,17881
Massachusetts,2011,241499,413673,152069,61230,105.780,404871,-1389,21494,20105
Michigan,2011,228477,401360,144552,39953,107.686,394564,-1330,29660,28331
Minnesota,2011,161351,284491,104791,51268,105.674,274182,-1371,19721,18350
Mississippi,2011,52225,96840,37097,31111,100.521,92662,-349,7867,7518
Missouri,2011,144906,256996,97631,41564,100.099,249820,-1044,15504,14459
Montana,2011,20672,40842,17721,38198,107.032,38109,-271,2721,2449
Nebraska,2011,48080,99050,45894,50900,108.162,93770,-969,6044,5076
Nevada,2011,64109,122744,48064,43886,99.855,119308,-316,10888,10572
New Hampshire,2011,37207,64098,22405,47697,103.607,62870,-189,4675,4486
New Jersey,2011,274629,497571,180159,54775,100.035,484352,-1890,44674,42784
New Mexico,2011,43405,89543,40770,40227,101.110,83609,-296,5663,5367
New York,2011,674699,1231936,468113,61290,104.595,1196493,-6602,95726,89124
North Carolina,2011,223244,428731,176166,43302,102.206,417933,-1301,30621,29320
North Dakota,2011,20915,42123,18809,57012,120.711,39067,-670,3070,2399
Ohio,2011,286877,521870,201679,43610,105.349,503464,-1828,35142,33314
Oklahoma,2011,82761,165278,72269,40303,106.436,152608,-499,10747,10248
Oregon,2011,92007,200267,100617,51362,109.616,198649,-701,8344,7643
Pennsylvania,2011,345294,607403,222903,46239,103.788,589271,-2336,41543,39206
Rhode Island,2011,27975,49931,18060,46244,101.778,48649,-208,4104,3896
South Carolina,2011,96215,171153,62931,35812,103.916,167352,-505,12511,12007
South Dakota,2011,18962,42453,21248,48195,108.813,39721,-681,2924,2243
Tennessee,2011,141946,264958,103526,40465,104.686,258910,-851,20337,19486
Texas,2011,641839,1351048,611489,48595,106.433,1246833,-3075,100795,97721
Utah,2011,65463,125497,53172,42521,104.527,119710,-336,7198,6862
Vermont,2011,15838,27565,9263,42962,106.705,26914,-108,2572,2464
Virginia,2011,248671,431961,156407,52093,103.090,422485,-1166,28049,26883
Washington,2011,194332,372287,149415,52822,102.574,360358,-1545,30085,28540
West Virginia,2011,36279,70891,29248,36048,105.328,66868,-147,5512,5365
Wisconsin,2011,150597,263635,94363,45115,104.775,257554,-1048,19722,18675
Wyoming,2011,16275,41578,21279,64163,97.868,36421,-90,4113,4023
Alabama,2012,100711,187283,75411,36695,104.240,176777,-470,11631,11161
Alaska,2012,25816,61614,28082,74289,107.518,54311,-118,7834,7716
Arizona,2012,145444,266131,101913,38732,104.455,253933,-708,19481,18773
Arkansas,2012,59241,111541,44313,35753,105.345,105448,-398,8386,7988
California,2012,1123328,2121602,869092,52660,104.741,2004400,-8565,137746,129182
Colorado,2012,150945,277647,110850,50547,104.936,262427,-900,16752,15852
Connecticut,2012,128467,238322,93028,63178,100.446,227085,-724,17551,16827
Delaware,2012,27628,60774,29763,62327,101.369,57146,-183,3566,3384
District of Columbia,2012,76626,109760,30030,163461,104.918,103804,-761,3865,3104
Florida,2012,424499,764646,273929,37702,101.080,729727,-2552,68770,66218
Georgia,2012,240264,434978,167803,41740,102.804,414023,-1267,28178,26911
Hawaii,2012,39861,72100,26132,49216,105.479,68546,-276,6384,6107
Idaho,2012,30288,58545,24973,34355,101.830,54817,-334,3619,3285
Illinois,2012,391104,712604,272146,52264,105.137,672840,-2738,52092,49354
Indiana,2012,155659,299906,127292,43056,106.875,281487,-1012,17967,16955
Iowa,2012,78797,159096,71196,48254,108.662,148427,-1230,10332,9102
Kansas,2012,75006,141600,57437,45701,107.727,131891,-895,10052,9157
Kentucky,2012,98628,178210,66790,38310,107.570,167931,-532,13323,12791
Louisiana,2012,109937,243308,117967,45813,100.692,210956,-705,16109,15404
Maine,2012,30615,52606,17406,37748,99.860,50152,-188,4773,4585
Maryland,2012,185722,331424,127324,53824,104.570,317123,-1168,19545,18377
Massachusetts,2012,251168,432256,160249,62205,108.173,414029,-1711,22550,20839
Michigan,2012,236397,417328,152066,40537,109.360,400697,-1183,30049,28866
Minnesota,2012,165881,294729,110353,51598,107.002,277627,-1483,19977,18494
Mississippi,2012,54251,102083,40135,31990,103.627,95526,-365,8063,7697
Missouri,2012,150608,265178,99796,41756,100.810,251594,-948,15722,14774
Montana,2012,21684,42138,17942,38318,108.176,38516,-283,2794,2511
Nebraska,2012,50907,102163,45971,50733,108.582,94134,-883,6169,5285
Nevada,2012,66270,125205,48575,43209,99.640,119051,-264,10624,10360
New Hampshire,2012,37867,66013,23491,47990,104.497,63410,-168,4822,4654
New Jersey,2012,283849,518423,190819,55571,101.871,493246,-1764,45519,43754
New Mexico,2012,44646,90535,40097,40226,101.407,83854,-276,6068,5792
New York,2012,695420,1299814,511175,62777,107.602,1230882,-6396,99615,93219
North Carolina,2012,233464,439332,176006,42746,101.903,416695,-1328,31190,29862
North Dakota,2012,24376,52197,25012,67753,146.901,47543,-826,3636,2809
Ohio,2012,298309,544552,212024,44394,107.301,512793,-1653,35872,34219
Oklahoma,2012,87253,173911,75574,41769,111.196,159433,-575,11659,11085
Oregon,2012,97003,196982,91779,49403,106.283,192608,-682,8882,8201
Pennsylvania,2012,354585,626316,230772,46648,104.920,595700,-2115,43073,40958
Rhode Island,2012,28645,51492,18769,46681,102.799,49138,-190,4268,4079
South Carolina,2012,98880,175434,64119,35512,104.138,167708,-472,12907,12435
South Dakota,2012,19734,43258,21164,47171,107.837,39365,-681,3042,2361
Tennessee,2012,151106,280843,109393,41469,108.235,267689,-761,21105,20344
Texas,2012,685021,1440819,652408,50356,112.167,1314004,-3064,106453,103389
Utah,2012,68775,129012,52819,42282,105.413,120725,-322,7741,7419
Vermont,2012,16322,28146,9223,42978,106.693,26910,-97,2697,2600
Virginia,2012,255615,444528,161468,51942,103.845,425580,-1131,28576,27445
Washington,2012,205367,390154,154799,53622,105.260,369797,-1498,31486,29988
West Virginia,2012,37679,70915,27752,35479,103.740,65859,-139,5623,5484
Wisconsin,2012,155989,273880,98892,45639,106.290,261278,-975,19973,18998
Wyoming,2012,17106,39909,18940,60362,93.573,34822,-78,3941,3863
Alabama,2013,101959,191605,78180,36865,105.082,178205,-520,11986,11466
Alaska,2013,26254,59891,25461,69746,101.795,51421,-113,8289,8176
Arizona,2013,149890,271072,102430,38303,104.541,254141,-742,19494,18752
Arkansas,2013,60282,116651,47961,36571,108.098,108204,-462,8870,8408
California,2013,1161457,2215232,916216,53487,107.415,2055578,-8628,146187,137559
Colorado,2013,156902,288809,115463,50807,107.108,267858,-921,17365,16444
Connecticut,2013,130467,242417,94914,62847,100.059,226209,-700,17736,17036
Delaware,2013,28103,61424,29816,61004,100.122,56443,-191,3695,3505
District of Columbia,2013,77771,111816,30773,159340,104.540,103430,-754,4026,3272
Florida,2013,440231,797344,288577,38090,103.415,746585,-2445,70981,68536
Georgia,2013,249862,450934,173657,42082,104.436,420595,-1229,28643,27415
Hawaii,2013,40974,74012,26806,49035,106.315,69089,-266,6498,6232
Idaho,2013,31729,61111,25942,34838,104.376,56188,-334,3773,3439
Illinois,2013,396933,720495,272734,51812,104.362,667880,-2998,53826,50827
Indiana,2013,158189,310669,135041,43774,109.206,287628,-1168,18607,17439
Iowa,2013,80526,163495,73705,48285,109.310,149313,-1337,10601,9264
Kansas,2013,77394,142774,56046,45173,106.846,130813,-1048,10382,9334
Kentucky,2013,99240,182696,70296,38564,108.680,169664,-590,13750,13160
Louisiana,2013,112612,238308,109453,44408,98.124,205576,-663,16906,16243
Maine,2013,31348,53300,17292,37447,99.071,49755,-190,4850,4659
Maryland,2013,187677,337422,130687,53342,104.457,316782,-1170,20227,19057
Massachusetts,2013,257422,438641,159527,61352,107.539,411601,-1716,23407,21691
Michigan,2013,241534,431112,160172,41117,111.076,406985,-1220,30626,29405
Minnesota,2013,170693,307216,115674,52479,109.667,284542,-1473,22321,20848
Mississippi,2013,54899,103270,40405,31777,103.147,95083,-421,8387,7966
Missouri,2013,154626,274540,104504,42231,102.287,255281,-1047,16457,15410
Montana,2013,22162,43223,18465,38395,109.438,38965,-311,2907,2596
Nebraska,2013,51876,107188,49836,51694,111.444,96615,-1015,6491,5475
Nevada,2013,67551,126935,48346,42505,99.305,118651,-270,11308,11038
New Hampshire,2013,38651,67307,23831,47975,104.568,63453,-164,4988,4824
New Jersey,2013,289543,530091,194607,55562,102.262,495140,-1731,47672,45941
New Mexico,2013,44576,91344,40663,39808,100.466,83076,-267,6373,6105
New York,2013,710449,1335063,527062,62610,107.799,1233138,-6388,103941,97553
North Carolina,2013,237980,454450,186119,42852,103.211,422044,-1322,31672,30350
North Dakota,2013,26206,54441,25258,67041,149.945,48528,-914,3891,2977
Ohio,2013,307418,558969,214928,44736,108.325,517687,-1678,38302,36623
Oklahoma,2013,90247,182447,80806,42475,114.144,163660,-571,11966,11395
Oregon,2013,100293,197733,88928,48323,104.742,189816,-668,9180,8512
Pennsylvania,2013,363193,645382,239949,47159,106.163,602755,-2116,44357,42241
Rhode Island,2013,29330,52809,19267,46909,103.373,49412,-189,4401,4212
South Carolina,2013,101837,180856,66103,35519,105.246,169493,-474,13390,12916
South Dakota,2013,20070,44909,22449,47172,109.260,39884,-840,3230,2391
Tennessee,2013,153591,289266,115018,41642,109.397,270562,-771,21428,20657
Texas,2013,712826,1527158,706430,51695,116.965,1370216,-3120,111023,107903
Utah,2013,72282,134922,55071,42796,108.473,124229,-335,7904,7570
Vermont,2013,16858,28611,9063,42771,106.301,26811,-98,2788,2690
Virginia,2013,259301,451877,164383,51347,103.619,424654,-1121,29315,28194
Washington,2013,213058,402789,158347,53760,106.716,374911,-1442,32826,31384
West Virginia,2013,37958,72763,29171,36038,105.222,66800,-140,5774,5634
Wisconsin,2013,159751,281549,101921,45811,107.027,263089,-989,20866,19878
Wyoming,2013,17558,40457,18864,59961,93.971,34971,-81,4116,4035
Alabama,2014,106588,197535,78596,37083,106.041,179832,-492,12842,12350
Alaska,2014,26840,58067,23245,67366,98.251,49630,-111,8092,7981
Arizona,2014,156393,281559,105913,38438,106.434,258744,-730,19982,19252
Arkansas,2014,62273,121065,50359,37252,110.394,110502,-446,8879,8433
California,2014,1222127,2324995,960798,54606,110.722,2118858,-8734,150805,142070
Colorado,2014,167402,305367,120950,52060,111.493,278825,-891,17905,17014
Connecticut,2014,135212,250764,97266,63650,101.261,228927,-684,18970,18286
Delaware,2014,29538,65485,32389,62904,104.398,58854,-194,3752,3558
District of Columbia,2014,81036,116539,32246,159831,106.442,105312,-767,4025,3258
Florida,2014,462143,835578,302819,38497,106.083,765840,-2392,73008,70616
Georgia,2014,263043,471879,180865,42694,107.043,431094,-1195,29167,27972
Hawaii,2014,42434,76425,27654,49073,107.196,69662,-264,6600,6336
Idaho,2014,32964,63364,26944,35083,106.520,57342,-343,3800,3456
Illinois,2014,409534,742028,280726,52359,105.384,674419,-2756,54525,51768
Indiana,2014,165377,324289,141133,44539,111.556,293817,-1063,18841,17779
Iowa,2014,84855,170715,75986,49397,112.362,153482,-1204,11079,9875
Kansas,2014,79803,146562,57217,45570,108.090,132336,-841,10383,9542
Kentucky,2014,102839,188518,72251,38860,109.861,171507,-538,13967,13429
Louisiana,2014,117767,245791,112484,45067,100.018,209545,-642,16182,15540
Maine,2014,32111,55029,17979,37807,100.128,50286,-189,5128,4939
Maryland,2014,194588,350262,135576,53879,106.179,322004,-1144,21243,20099
Massachusetts,2014,269500,456273,164351,62145,109.522,419192,-1706,24127,22422
Michigan,2014,252109,447221,163463,41695,112.769,413188,-1181,32831,31649
Minnesota,2014,179076,320381,120339,53499,112.524,291955,-1318,22284,20966
Mississippi,2014,56427,104938,40292,31651,102.803,94766,-387,8606,8219
Missouri,2014,159383,283280,107997,42582,103.457,258201,-1052,16953,15900
Montana,2014,22969,44672,19022,38820,111.599,39735,-283,2964,2681
Nebraska,2014,54361,110663,50626,52317,113.542,98434,-917,6594,5677
Nevada,2014,71993,134052,49504,43216,102.689,122695,-291,12847,12556
New Hampshire,2014,40548,70345,24805,48982,107.102,64990,-159,5152,4993
New Jersey,2014,299527,545374,197099,55841,103.084,499117,-1727,50476,48749
New Mexico,2014,45985,94792,42170,40866,103.069,85228,-274,6911,6636
New York,2014,749761,1385776,543994,63217,109.124,1248299,-6527,98549,92021
North Carolina,2014,251346,474355,192440,43332,105.374,430887,-1341,31911,30569
North Dakota,2014,28890,58230,25915,69550,158.916,51431,-795,4220,3425
Ohio,2014,319401,588827,231418,46137,111.930,534916,-1632,39640,38008
Oklahoma,2014,94082,190171,84600,43588,117.894,169037,-541,12030,11489
Oregon,2014,104605,203328,89957,48264,105.736,191618,-685,9451,8766
Pennsylvania,2014,374890,672413,254564,48203,108.562,616378,-2109,45068,42959
Rhode Island,2014,30556,55098,20276,47852,105.633,50492,-185,4451,4267
South Carolina,2014,106890,189656,68893,35962,107.911,173785,-445,14318,13873
South Dakota,2014,21208,45600,21931,46917,109.656,40028,-768,3229,2461
Tennessee,2014,159124,300016,120376,41955,111.100,274775,-734,21250,20516
Texas,2014,760196,1601977,719458,52742,121.365,1421759,-3094,125416,122323
Utah,2014,75463,140565,57559,43154,110.890,126997,-339,7881,7542
Vermont,2014,17266,29662,9658,43435,107.899,27215,-101,2838,2738
Virginia,2014,265434,462243,168242,51101,103.820,425478,-1092,29658,28567
Washington,2014,225766,422767,165352,54662,109.873,386000,-1428,33076,31648
West Virginia,2014,37949,74433,30874,36337,105.908,67236,-137,5747,5610
Wisconsin,2014,165100,293341,107247,46676,109.327,268742,-977,21971,20994
Wyoming,2014,18209,40876,18637,60189,94.480,35160,-85,4115,4030
Alabama,2015,(NA),204235,(NA),37597,107.739,182711,(NA),(NA),(NA)
Alaska,2015,(NA),52804,(NA),66835,97.713,49359,(NA),(NA),(NA)
Arizona,2015,(NA),290578,(NA),38244,107.437,261182,(NA),(NA),(NA)
Arkansas,2015,(NA),123207,(NA),37644,112.018,112128,(NA),(NA),(NA)
California,2015,(NA),2458535,(NA),56365,115.316,2206766,(NA),(NA),(NA)
Colorado,2015,(NA),314878,(NA),52920,115.486,288810,(NA),(NA),(NA)
Connecticut,2015,(NA),258532,(NA),64115,101.851,230261,(NA),(NA),(NA)
Delaware,2015,(NA),68071,(NA),63463,106.508,60043,(NA),(NA),(NA)
District of Columbia,2015,(NA),122510,(NA),160563,109.114,107955,(NA),(NA),(NA)
Florida,2015,(NA),882798,(NA),38950,109.395,789751,(NA),(NA),(NA)
Georgia,2015,(NA),495727,(NA),43301,109.844,442374,(NA),(NA),(NA)
Hawaii,2015,(NA),79745,(NA),49479,109.016,70845,(NA),(NA),(NA)
Idaho,2015,(NA),65242,(NA),35305,108.552,58436,(NA),(NA),(NA)
Illinois,2015,(NA),775007,(NA),53640,107.804,689907,(NA),(NA),(NA)
Indiana,2015,(NA),336411,(NA),45136,113.455,298817,(NA),(NA),(NA)
Iowa,2015,(NA),174103,(NA),49500,113.218,154651,(NA),(NA),(NA)
Kansas,2015,(NA),147765,(NA),45558,108.359,132666,(NA),(NA),(NA)
Kentucky,2015,(NA),194643,(NA),39181,111.072,173398,(NA),(NA),(NA)
Louisiana,2015,(NA),243317,(NA),45606,101.688,213045,(NA),(NA),(NA)
Maine,2015,(NA),56600,(NA),37958,100.484,50465,(NA),(NA),(NA)
Maryland,2015,(NA),363845,(NA),54388,107.735,326724,(NA),(NA),(NA)
Massachusetts,2015,(NA),476743,(NA),62918,111.703,427541,(NA),(NA),(NA)
Michigan,2015,(NA),466536,(NA),42226,114.368,419045,(NA),(NA),(NA)
Minnesota,2015,(NA),333267,(NA),54431,115.177,298839,(NA),(NA),(NA)
Mississippi,2015,(NA),107100,(NA),31894,103.546,95451,(NA),(NA),(NA)
Missouri,2015,(NA),293378,(NA),42984,104.792,261533,(NA),(NA),(NA)
Montana,2015,(NA),45933,(NA),39792,115.459,41109,(NA),(NA),(NA)
Nebraska,2015,(NA),113998,(NA),52996,115.928,100502,(NA),(NA),(NA)
Nevada,2015,(NA),141282,(NA),43632,105.586,126156,(NA),(NA),(NA)
New Hampshire,2015,(NA),72573,(NA),49225,107.952,65506,(NA),(NA),(NA)
New Jersey,2015,(NA),568155,(NA),56721,104.956,508182,(NA),(NA),(NA)
New Mexico,2015,(NA),92231,(NA),41166,103.822,85851,(NA),(NA),(NA)
New York,2015,(NA),1441003,(NA),63929,110.647,1265723,(NA),(NA),(NA)
North Carolina,2015,(NA),499449,(NA),44054,108.211,442489,(NA),(NA),(NA)
North Dakota,2015,(NA),54830,(NA),66507,155.573,50349,(NA),(NA),(NA)
Ohio,2015,(NA),608109,(NA),46867,113.906,544360,(NA),(NA),(NA)
Oklahoma,2015,(NA),180425,(NA),43788,119.468,171294,(NA),(NA),(NA)
Oregon,2015,(NA),215331,(NA),49482,110.027,199393,(NA),(NA),(NA)
Pennsylvania,2015,(NA),689173,(NA),48944,110.379,626689,(NA),(NA),(NA)
Rhode Island,2015,(NA),57049,(NA),48329,106.812,51056,(NA),(NA),(NA)
South Carolina,2015,(NA),198714,(NA),36174,109.995,177141,(NA),(NA),(NA)
South Dakota,2015,(NA),46674,(NA),47460,111.627,40748,(NA),(NA),(NA)
Tennessee,2015,(NA),314191,(NA),42457,113.322,280268,(NA),(NA),(NA)
Texas,2015,(NA),1586468,(NA),53707,125.955,1475535,(NA),(NA),(NA)
Utah,2015,(NA),147108,(NA),43798,114.587,131231,(NA),(NA),(NA)
Vermont,2015,(NA),30401,(NA),43553,108.114,27269,(NA),(NA),(NA)
Virginia,2015,(NA),479809,(NA),51480,105.316,431610,(NA),(NA),(NA)
Washington,2015,(NA),443665,(NA),55403,113.095,397321,(NA),(NA),(NA)
West Virginia,2015,(NA),73741,(NA),36486,106.000,67294,(NA),(NA),(NA)
Wisconsin,2015,(NA),305795,(NA),47414,111.332,273671,(NA),(NA),(NA)
Wyoming,2015,(NA),38624,(NA),60231,94.873,35306,(NA),(NA),(NA)
Alabama,2016,,207608.0,,,108.35700000000001,182381.0,,,
Alaska,2016,,51506.0,,,93.385,47125.0,,,
Arizona,2016,,309103.0,,,111.729,270953.0,,,
Arkansas,2016,,121448.0,,,110.87799999999999,108682.0,,,
California,2016,,2656080.0,,,122.055,2333841.0,,,
Colorado,2016,,330319.0,,,119.59700000000001,295727.0,,,
Connecticut,2016,,266597.0,,,99.33200000000001,232002.0,,,
Delaware,2016,,71769.0,,,106.852,61279.0,,,
District of Columbia,2016,,128597.0,,,111.859,110087.0,,,
Florida,2016,,947007.0,,,114.713,827949.0,,,
Georgia,2016,,532805.0,,,114.853,464666.0,,,
Hawaii,2016,,84889.0,,,112.611,73627.0,,,
Idaho,2016,,68450.0,,,112.16799999999999,60439.0,,,
Illinois,2016,,798999.0,,,108.82,694309.0,,,
Indiana,2016,,346591.0,,,115.505,302701.0,,,
Iowa,2016,,181007.0,,,115.917,158887.0,,,
Kansas,2016,,154574.0,,,110.541,137055.0,,,
Kentucky,2016,,201545.0,,,112.348,175621.0,,,
Louisiana,2016,,237569.0,,,97.59700000000001,205812.0,,,
Maine,2016,,59857.0,,,103.154,51995.0,,,
Maryland,2016,,384386.0,,,111.757,336309.0,,,
Massachusetts,2016,,516483.0,,,116.902,450889.0,,,
Michigan,2016,,495300.0,,,119.82600000000001,435144.0,,,
Minnesota,2016,,341318.0,,,116.27,300168.0,,,
Mississippi,2016,,108215.0,,,101.669,95232.0,,,
Missouri,2016,,304431.0,,,105.96799999999999,265381.0,,,
Montana,2016,,46506.0,,,114.20200000000001,41203.0,,,
Nebraska,2016,,116769.0,,,117.544,102217.0,,,
Nevada,2016,,151348.0,,,109.07700000000001,131114.0,,,
New Hampshire,2016,,79155.0,,,112.305,69860.0,,,
New Jersey,2016,,588706.0,,,106.583,513884.0,,,
New Mexico,2016,,94974.0,,,104.211,86326.0,,,
New York,2016,,1494981.0,,,110.72200000000001,1271535.0,,,
North Carolina,2016,,526809.0,,,111.286,453874.0,,,
North Dakota,2016,,52796.0,,,146.536,47608.0,,,
Ohio,2016,,638185.0,,,116.6,559130.0,,,
Oklahoma,2016,,185602.0,,,121.68700000000001,174801.0,,,
Oregon,2016,,229837.0,,,115.331,208775.0,,,
Pennsylvania,2016,,740039.0,,,115.00399999999999,660084.0,,,
Rhode Island,2016,,58527.0,,,106.76100000000001,50935.0,,,
South Carolina,2016,,212529.0,,,115.34899999999999,185065.0,,,
South Dakota,2016,,48893.0,,,114.77600000000001,42107.0,,,
Tennessee,2016,,333966.0,,,117.822,290480.0,,,
Texas,2016,,1652657.0,,,129.631,1512166.0,,,
Utah,2016,,160002.0,,,122.101,138212.0,,,
Vermont,2016,,31483.0,,,108.116,27599.0,,,
Virginia,2016,,500833.0,,,107.43799999999999,437598.0,,,
Washington,2016,,476550.0,,,120.005,418174.0,,,
West Virginia,2016,,75199.0,,,104.676,66852.0,,,
Wisconsin,2016,,314104.0,,,112.40299999999999,275383.0,,,
Wyoming,2016,,38463.0,,,91.648,34028.0,,,
