state,total_engi,temporary_visa_engi,totals_science,temporary_visa_science,total_area_sqm,land_area,water_area,total_employed,member of unions,percent of employed,represented by unions,union_represent_percentage,sales_tax,us_population
Alabama,2245,1044,211,123,52420,50645,1775,1895,153,8.1,170,9,4,4860545
Alaska,167,43,33,4,665384,570641,94743,297,55,18.5,59,19.9,0,741522
Arizona,3506,2030,557,263,113990,113594,396,2727,122,4.5,151,5.5,5.6,6908642
Arkansas,600,318,75,27,53179,52035,1143,1186,47,3.9,59,5,6,2988231
California,23957,13083,6351,3338,163695,155779,7916,16001,2551,15.9,2796,17.5,6.25,39296476
Colorado,3716,1473,1108,267,104094,103642,452,2438,238,9.8,263,10.8,2.9,5530105
Connecticut,2414,1645,867,525,5543,4842,701,1568,275,17.5,288,18.4,6,3587685
Delaware,704,373,93,49,2489,1949,540,419,48,11.4,56,13.3,0,952698
District of Columbia,1121,508,197,103,68,61,7,343,32,9.5,37,10.7,5.75,684336
Florida,6511,3844,1035,434,65758,53625,12133,8113,456,5.6,574,7.1,6,20656589
Georgia,4066,1925,837,434,59425,57513,1912,4249,165,3.9,210,4.9,4,10313620
Hawaii,154,51,183,116,10932,6423,4509,597,119,19.9,125,20.9,4,1428683
Idaho,563,166,76,43,83569,82643,926,689,42,6.1,47,6.8,5,1680026
Illinois,7420,5222,1514,894,57914,55519,2395,5587,812,14.5,856,15.3,6.25,12835726
Indiana,4648,2768,602,372,36420,35826,593,2927,304,10.4,335,11.4,6,6634007
Iowa,1580,924,350,210,56273,55857,416,1454,129,8.9,153,10.5,5,3130869
Kansas,1394,820,195,126,82278,81759,520,1274,109,8.6,132,10.3,5.3,2907731
Kentucky,886,342,171,90,40408,39486,921,1710,190,11.1,228,13.4,6,4436113
Louisiana,1048,696,280,141,52378,43204,9174,1799,76,4.2,88,4.9,4,4686157
Maine,140,61,17,4,35380,30843,4537,567,65,11.4,77,13.5,5,1330232
Maryland,3395,1611,1054,620,12406,9707,2699,2815,310,11,347,12.3,5,6024752
Massachusetts,8321,4423,4295,2324,10554,7800,2754,3158,381,12.1,407,12.9,5,6823721
Michigan,7950,5147,1255,724,96714,56539,40175,4196,606,14.4,651,15.5,6,9933445
Minnesota,1804,876,644,298,86936,79627,7309,2563,365,14.2,388,15.2,6.5,5525050
Mississippi,816,274,92,51,48432,46923,1509,1108,73,6.6,90,8.1,7,2985415
Missouri,3180,2039,536,264,69707,68742,965,2711,262,9.7,290,10.7,4.225,6091176
Montana,251,57,72,23,147040,145546,1494,418,50,11.9,58,13.9,0,1038656
Nebraska,514,313,267,188,77348,76824,524,876,64,7.4,74,8.5,5.5,1907603
Nevada,433,231,101,60,110572,109781,791,1211,146,12.1,182,15,6.5,2939254
New Hampshire,433,214,186,75,9349,8953,397,669,63,9.4,74,11,0,1335015
New Jersey,4430,2500,779,445,8723,7354,1368,4007,644,16.1,666,16.6,6,8978416
New Mexico,1207,426,89,36,121590,121298,292,784,49,6.3,64,8.2,5,2085432
New York,12666,8214,3821,2383,54555,47126,7429,8227,1942,23.6,2075,25.2,4,19836286
North Carolina,4235,2280,1194,500,53819,48618,5201,4225,129,3,174,4.1,4.5,10156689
North Dakota,426,246,78,31,70698,69001,1698,363,20,5.5,25,7,5,755548
Ohio,7356,4276,686,431,44826,40861,3965,4970,617,12.4,702,14.1,5.5,11622554
Oklahoma,1316,829,181,95,69899,68595,1304,1482,80,5.4,97,6.6,4.5,3921207
Oregon,1603,855,402,155,98379,95988,2391,1691,228,13.5,267,15.8,0,4085989
Pennsylvania,8052,4798,1583,887,46054,44743,1312,5686,685,12.1,724,12.7,6,12787085
Rhode Island,456,192,276,115,1545,1034,511,481,74,15.5,81,16.9,7,1057566
South Carolina,1672,1005,185,77,32020,30061,1960,1981,32,1.6,52,2.6,5,4959822
South Dakota,394,245,61,43,77116,75811,1305,379,20,5.2,26,7,4,861542
Tennessee,1950,784,516,255,42144,41235,909,2746,158,5.7,174,6.4,7,6649404
Texas,16047,11096,2510,1628,268596,261232,7365,11457,462,4,606,5.3,6.25,27904862
Utah,1535,520,368,162,84897,82170,2727,1318,62,4.7,79,6,4.8,3044321
Vermont,94,41,32,12,9616,9217,400,290,33,11.5,37,12.9,6,623354
Virginia,4582,2001,498,256,42775,39490,3285,3748,160,4.3,226,6,4,8414380
Washington,2730,1089,744,311,71298,66456,4842,3090,539,17.4,577,18.7,6.5,7280934
West Virginia,607,341,48,28,24230,24038,192,669,79,11.8,88,13.2,6,1828637
Wisconsin,2212,961,548,245,65496,54158,11339,2696,219,8.1,244,9,5,5772917
Wyoming,230,100,37,14,97813,97093,720,248,16,6.3,18,7.3,4,584910
Puerto Rico,706,84,49,25,5325,3424,1901,,,,,,0,3337177