"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"08000","Colorado","7","SA50","10","...","Personal income (thousands of dollars)",1865969,1897217,2078836,2471192,2666223,2693070,2773107,3018631,3331238,3656802,3744005,4019322,4302589,4633818,4886249,5117264,5413181,5780431,6219573,6707143,7449409,8362617,9447721,10654052,12056548,13774616,15431087,17007525,18711069,20872126,24076949,27639927,31667476,36459220,39984337,42968979,46898660,49560424,51512722,53462768,56574733,61209049,64865685,68711303,74732485,80953444,87221703,94817972,102272385,110052113,122141316,132118052,147226744,154592304,156288493,159102588,164456627,176129181,189492643,201743269,208608111,198082468,201569924,219860916,234005901,246648165,267225467,282665204,288103337
"08000","Colorado","7","SA50","15","...","  Less: Personal current taxes",159037,155023,171010,242037,296580,297079,285150,301584,362956,361070,387444,410199,489383,526212,548522,572457,509947,553200,631558,705597,852264,1055730,1090104,1176541,1471645,1636692,1897281,1891667,2174988,2560318,3019677,3620471,4156949,4978594,5514194,4984292,5289074,5708018,5758815,6145103,6361332,7255519,7880518,8223503,8908146,9818168,10771303,11730995,13372578,15248012,17439789,19263634,22212583,21548168,18386104,16991629,17619620,20542392,23604107,26363440,26314107,20010459,21756426,26043720,27252897,30160021,33221350,36007203,36465416
"08000","Colorado","7","SA50","16","...","Equals: Disposable personal income",1706932,1742194,1907826,2229155,2369643,2395991,2487957,2717047,2968282,3295732,3356561,3609123,3813206,4107606,4337727,4544807,4903234,5227231,5588015,6001546,6597145,7306887,8357617,9477511,10584903,12137924,13533806,15115858,16536081,18311808,21057272,24019456,27510527,31480626,34470143,37984687,41609586,43852406,45753907,47317665,50213401,53953530,56985167,60487800,65824339,71135276,76450400,83086977,88899807,94804101,104701527,112854418,125014161,133044136,137902389,142110959,146837007,155586789,165888536,175379829,182294004,178072009,179813498,193817196,206753004,216488144,234004117,246658001,251637921
"08000","Colorado","7","SA50","20","...","Population (persons) 1/",1263000,1295000,1325000,1326000,1365000,1431000,1493000,1546000,1625000,1664000,1667000,1710000,1769000,1844000,1899000,1936000,1970000,1985000,2007000,2053000,2120000,2166000,2223979,2303502,2404576,2495803,2541318,2586144,2632244,2696007,2766725,2849181,2908803,2977899,3061562,3133634,3169995,3208726,3237448,3260477,3262280,3275815,3307618,3387119,3495939,3613734,3724168,3826653,3919972,4018293,4116639,4226018,4326921,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5048644,5118360,5189867,5267603,5349648,5448819,5540545
"08000","Colorado","7","SA50","30","...","Per capita personal income (dollars) 2/",1477,1465,1569,1864,1953,1882,1857,1953,2050,2198,2246,2350,2432,2513,2573,2643,2748,2912,3099,3267,3514,3861,4248,4625,5014,5519,6072,6576,7108,7742,8702,9701,10887,12243,13060,13712,14795,15446,15912,16397,17342,18685,19611,20286,21377,22402,23420,24778,26090,27388,29670,31263,34026,34931,34805,35132,35947,38025,40143,41996,42663,39838,39926,42955,45089,46824,49952,51876,51999
"08000","Colorado","7","SA50","50","...","Per capita disposable personal income (dollars) 3/",1351,1345,1440,1681,1736,1674,1666,1757,1827,1981,2014,2111,2156,2228,2284,2348,2489,2633,2784,2923,3112,3373,3758,4114,4402,4863,5326,5845,6282,6792,7611,8430,9458,10571,11259,12122,13126,13667,14133,14512,15392,16470,17228,17858,18829,19685,20528,21713,22679,23593,25434,26705,28892,30062,30710,31380,32095,33590,35143,36508,37281,35814,35616,37867,39838,41098,43742,45268,45418
"08000","Colorado","7","SA50","60","...","Personal current taxes",159037,155023,171010,242037,296580,297079,285150,301584,362956,361070,387444,410199,489383,526212,548522,572457,509947,553200,631558,705597,852264,1055730,1090104,1176541,1471645,1636692,1897281,1891667,2174988,2560318,3019677,3620471,4156949,4978594,5514194,4984292,5289074,5708018,5758815,6145103,6361332,7255519,7880518,8223503,8908146,9818168,10771303,11730995,13372578,15248012,17439789,19263634,22212583,21548168,18386104,16991629,17619620,20542392,23604107,26363440,26314107,20010459,21756426,26043720,27252897,30160021,33221350,36007203,36465416
"08000","Colorado","7","SA50","70","...","  Federal government 4/",144274,137148,152166,219974,272999,273755,258872,270873,329551,324882,345626,359004,427373,452369,477546,490835,431613,463120,529436,591299,721111,889452,919449,980516,1232262,1360562,1579606,1522661,1769259,2094290,2529974,3051486,3552897,4397140,4841900,4181842,4338015,4634802,4645583,4946408,4997411,5752632,6248497,6496633,6962236,7734607,8550785,9256483,10670894,12218700,14082708,16009982,18744362,18093544,14535759,13266848,13620986,16154690,18816263,20800510,20645307,15238728,16841750,20661204,21481049,23779714,26486869,28719755,29011884
"08000","Colorado","7","SA50","80","...","    Income taxes (net of refunds) 4/",144274,137148,152166,219974,272999,273755,258872,270873,329551,324882,345626,359004,427373,452369,477546,490835,431613,463120,529436,591299,721111,889452,919449,980516,1232262,1360562,1579606,1522661,1769259,2094290,2529974,3051486,3552897,4397140,4841900,4181842,4338015,4634802,4645583,4946408,4997411,5752632,6248497,6496633,6962236,7734607,8550785,9256483,10670894,12218700,14082708,16009982,18744362,18093544,14535759,13266848,13620986,16154690,18816263,20800510,20645307,15238728,16841750,20661204,21481049,23779714,26486869,28719755,29011884
"08000","Colorado","7","SA50","81","...","      Income taxes (gross) 4/",159044,156012,167056,235473,291395,297278,284192,299198,358442,358659,381023,398548,467493,500810,531005,547911,490815,509100,583255,663287,807625,985615,1049769,1130935,1395188,1627394,1878031,1954531,2106305,2454849,2928060,3505887,4146091,5081646,5635782,5067510,5296709,5587492,5641017,5920976,5908276,6653754,7048183,7350539,7812196,8541009,9424944,10289020,11776404,13405686,15396855,17705992,20567304,20222648,17250808,15993081,16413632,18765995,21647837,23822704,24903562,19520851,20829743,24087504,24973638,27221586,29951923,32261318,32908162
"08000","Colorado","7","SA50","82","...","      Less: Refunds",14770,18864,14890,15499,18396,23523,25320,28325,28891,33777,35397,39544,40120,48441,53459,57076,59202,45980,53819,71988,86514,96163,130320,150419,162926,266832,298425,431870,337046,360559,398086,454401,593194,684506,793882,885668,958694,952690,995434,974568,910865,901122,799686,853906,849960,806402,874159,1032537,1105510,1186986,1314147,1696010,1822942,2129104,2715049,2726233,2792646,2611305,2831574,3022194,4258255,4282123,3987993,3426300,3492589,3441872,3465054,3541563,3896278
"08000","Colorado","7","SA50","120","...","  State governments",11760,14543,15235,18131,19310,18726,21392,25569,28448,31424,37041,43312,53397,64597,62031,71161,67146,77449,88604,98860,113600,146919,148835,172613,214903,245871,287687,337413,371778,431632,447045,522760,551481,529740,620963,747525,889206,1010053,1051405,1128098,1298387,1423371,1556280,1644950,1855112,1989576,2108333,2359981,2582088,2892125,3213620,3084572,3282690,3244112,3620726,3447168,3717489,4100737,4475942,5195575,5346794,4468599,4571843,5029695,5461472,6046231,6350231,6920770,7073682
"08000","Colorado","7","SA50","130","...","    Income taxes",8987,11455,11531,13200,13803,13029,15318,19004,21540,23861,29002,34488,43126,53785,50674,60439,54199,63683,75721,84684,97834,128839,128829,153920,193629,224468,267717,311834,341515,398908,412934,482940,507203,479263,571516,693129,828865,943521,981696,1054035,1218856,1323322,1425941,1509802,1705863,1849386,1965882,2208425,2432648,2731255,3043644,2909751,3104779,3074559,3444695,3258144,3513856,3896350,4263990,4974908,5129166,4197477,4219966,4650242,5059715,5642050,5937263,6487888,6629863
"08000","Colorado","7","SA50","150","...","    Motor vehicle licenses",1668,1784,1975,2300,2469,2637,3107,3348,3545,3948,4197,4860,6184,6350,6505,5538,6938,7316,7097,7592,8103,9489,10315,10626,11951,13900,14405,15151,16963,18035,19122,20934,23004,25653,26591,29820,34401,36808,38031,41623,45341,63071,82670,82910,92643,87010,89397,100318,98864,109893,117193,122706,129728,119489,124437,136156,144260,144195,144834,150728,152200,207243,286685,317781,336554,338338,348137,361690,371033
"08000","Colorado","7","SA50","160","...","    Other taxes 5/",1105,1304,1729,2631,3038,3060,2967,3217,3363,3615,3842,3964,4087,4462,4852,5184,6009,6450,5786,6584,7663,8591,9691,8067,9323,7503,5565,10428,13300,14689,14989,18886,21274,24824,22856,24576,25940,29724,31678,32440,34190,36978,47669,52238,56606,53180,53054,51238,50576,50977,52783,52115,48183,50064,51594,52868,59373,60192,67118,69939,65428,63879,65192,61672,65203,65843,64831,71192,72786
"08000","Colorado","7","SA50","180","...","  Local governments",77,65,94,139,152,154,148,249,281,413,282,595,593,511,617,860,575,621,546,853,1120,1580,2233,2930,3281,3685,5821,7556,8557,8671,11247,11217,14106,16802,19456,20049,21961,20643,15334,14478,15668,19762,18555,19653,20002,21676,26674,27232,29980,31956,39951,46650,52633,54267,56366,62545,72098,78240,79781,112615,103577,96463,138406,140865,103787,119133,114110,119175,124594
"08000","Colorado","7","SA50","190","...","    Income taxes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08000","Colorado","7","SA50","200","...","    Motor vehicle licenses",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,230,223,225,628,1103,2147,2949,4038,5180,4985,6148,5410,6738,6366,6214,6786,6028,5892,7037,9647,7959,8372,8481,8133,9589,10469,11480,11978,15022,16226,17155,16538,16583,16755,16821,17008,14748,27375,38441,35876,34431,26825,30726,34206,38309,39290,40426
"08000","Colorado","7","SA50","210","...","    Other taxes",77,65,94,139,152,154,148,249,281,413,282,595,593,511,617,860,575,621,546,853,1120,1327,2003,2707,3056,3057,4718,5409,5608,4633,6067,6232,7958,11392,12718,13683,15747,13857,9306,8586,8631,10115,10596,11281,11521,13543,17085,16763,18500,19978,24929,30424,35478,37729,39783,45790,55277,61232,65033,85240,65136,60587,103975,114040,73061,84927,75801,79885,84168
"08000","Colorado","7","SA50","230","...","  State and local personal property taxes",2926,3267,3515,3793,4119,4444,4738,4893,4676,4351,4495,7288,8020,8735,8328,9601,10613,12010,12972,14585,16433,17779,19587,20482,21199,26574,24167,24037,25394,25725,31411,35008,38465,34912,31875,34876,39892,42520,46493,56119,49866,59754,57186,62267,70796,72309,85511,87299,89616,105231,103510,122430,132898,156245,173253,215068,209047,208725,232121,254740,218429,206669,204427,211956,206589,214943,270140,247503,255256
"Note: See the included footnote file."
"SA50: Personal Current Taxes"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
