"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"34000","New Jersey","2","SA5 1/","10","...","Personal income (thousands of dollars)",14637128,15732487,16588483,17445946,18768447,19691067,21119425,22697538,24589406,26497914,29093537,32545792,35351558,38133439,41444820,45038421,48927606,52917200,57361858,62757064,69680133,77342831,86955685,97057434,104844478,113452401,125654526,134893648,144359457,155776344,171093247,183704780,192503740,196000492,210737946,217231771,224967367,239340164,253236997,269821158,287666867,301576276,332255755,344672849
"34000","New Jersey","2","SA5 1/","20","...","Population (persons) 2/",5890000,6015000,6103000,6265000,6376000,6531000,6660000,6767000,6851000,6928000,7005000,7095000,7190282,7281935,7336538,7335240,7335227,7341417,7344079,7342027,7356414,7373048,7376330,7407471,7430970,7467784,7515474,7565530,7622161,7670741,7712333,7726086,7762963,7814676,7880508,7948915,8014306,8083242,8149596,8218808,8287418,8359592,8430621,8492671
"34000","New Jersey","2","SA5 1/","30","...","Per capita personal income (dollars) 3/",2485,2616,2718,2785,2944,3015,3171,3354,3589,3825,4153,4587,4917,5237,5649,6140,6670,7208,7811,8548,9472,10490,11788,13103,14109,15192,16719,17830,18939,20308,22184,23777,24798,25081,26742,27328,28071,29609,31074,32830,34711,36075,39411,40585
"34000","New Jersey","2","SA5 1/","35","...","  Earnings by place of work",11698490,12645956,13280390,13831450,14769442,15403165,16335924,17489813,19077563,20410011,22264276,24206080,26138479,27944080,30497025,33590063,36066494,37810763,41445656,45614052,51144799,56665895,61987535,67831106,72374297,79014564,88041763,95525420,103365674,113331015,125596149,132390955,138228029,139780185,149557852,155584411,162176911,169973274,178597141,189089010,202374021,214248554,235375597,243399106
"34000","New Jersey","2","SA5 1/","36","...","  Less: Contributions for government social insurance 4/",469174,556737,660179,694706,771044,869484,881064,934512,1212125,1346179,1534633,1828909,1958328,2170286,2484459,3130999,3460896,3543703,3932759,4315581,4987449,5747596,6317104,7368483,7997290,8983120,10427213,11395386,12408210,13524602,15223856,15871219,16024155,16532974,17490599,18116326,19137986,19893511,20744622,21524218,22686630,23765637,25555863,26592891
"34000","New Jersey","2","SA5 1/","37","...","    Employee and self-employed contributions for government social insurance",203120,244660,293131,306064,328090,383788,396847,423562,565684,646682,734278,837469,905100,1002366,1116312,1395567,1554720,1617516,1734717,1901704,2185664,2538417,2836461,3332829,3650418,4023730,4568085,5185183,5769132,6418699,7294127,7777989,7879921,8245548,8664966,8849684,9356350,9841912,10370285,10716891,11449282,12065862,12939109,13490987
"34000","New Jersey","2","SA5 1/","38","...","    Employer contributions for government social insurance",266054,312077,367048,388642,442954,485696,484217,510950,646441,699497,800355,991440,1053228,1167920,1368147,1735432,1906176,1926187,2198042,2413877,2801785,3209179,3480643,4035654,4346872,4959390,5859128,6210203,6639078,7105903,7929729,8093230,8144234,8287426,8825633,9266642,9781636,10051599,10374337,10807327,11237348,11699775,12616754,13101904
"34000","New Jersey","2","SA5 1/","42","...","  Plus: Adjustment for residence 5/",694542,779660,866150,923903,1025781,1101254,1218757,1329604,1529139,1695125,1903991,3188601,3145488,3240759,3447154,3542574,3714970,3922205,4094030,4455307,5032181,5768728,6722409,7307990,7776878,8118367,8544341,8970728,9556383,10090383,10507720,10363945,10373158,10323459,12089501,12277737,12264053,13400471,15361831,18129494,19634120,21539707,24593451,26546611
"34000","New Jersey","2","SA5 1/","45","...","  Equals: Net earnings by place of residence",11923858,12868879,13486361,14060647,15024179,15634935,16673617,17884905,19394577,20758957,22633634,25565772,27325639,29014553,31459720,34001638,36320568,38189265,41606927,45753778,51189531,56687027,62392840,67770613,72153885,78149811,86158891,93100762,100513847,109896796,120880013,126883681,132577032,133570670,144156754,149745822,155302978,163480234,173214350,185694286,199321511,212022624,234413185,243352826
"34000","New Jersey","2","SA5 1/","46","...","  Plus: Dividends, interest, and rent 6/",1866710,2008846,2206080,2361230,2665718,2896935,3240915,3527138,3809575,4096519,4495949,4767523,5336663,5842115,6321863,6905354,7759551,8390358,8901739,9774478,10801919,12105594,14781388,18306436,20655840,22310611,25948156,27593612,28978114,30519995,33858155,39294300,40595418,40181136,40817344,40563674,42361110,46689488,49920391,53261958,56630478,56514377,62580949,62129709
"34000","New Jersey","2","SA5 1/","47","...","  Plus: Personal current transfer receipts",846560,854762,896042,1024069,1078550,1159197,1204893,1285495,1385254,1642438,1963954,2212497,2689256,3276771,3663237,4131429,4847487,6337577,6853192,7228808,7688683,8550210,9781457,10980385,12034753,12991979,13547479,14199274,14867496,15359553,16355079,17526799,19331290,22248686,25763848,26922275,27303279,29170442,30102256,30864914,31714878,33039275,35261621,39190314
"34000","New Jersey","2","SA5 1/","50","...","  Wages and salaries",9365269,10142592,10683422,11094347,11860187,12370388,13134893,14079953,15291052,16364910,17804068,19375644,21050932,22433439,24349851,26830235,28864426,29806688,32362945,35172692,39180363,43375756,47796820,52255553,55888303,60465783,67086205,72655761,78855625,86623681,95332792,100234771,104947923,105959445,111735692,115796129,120256071,125410133,131446457,139717802,150785679,159052400,174304126,177042075
"34000","New Jersey","2","SA5 1/","60","...","  Supplements to wages and salaries",880612,983073,1070170,1136680,1240830,1328395,1399595,1532188,1765644,1923221,2167253,2519616,2758810,3063991,3512492,3956032,4333114,4995904,5606334,6359325,7275480,8246011,9296323,10526161,11528975,12934406,14430306,15626477,16986340,18209602,20019463,21475540,22157313,23012732,25439752,26910334,27950621,28127507,28758080,29718840,31499608,32647798,35396077,37086226
"34000","New Jersey","2","SA5 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",614558,670996,703122,748038,797876,842699,915378,1021238,1119203,1223724,1366898,1528176,1705582,1896071,2144345,2220600,2426938,3069717,3408292,3945448,4473695,5036832,5815680,6490507,7182103,7975016,8571178,9416274,10347262,11103699,12089734,13382310,14013079,14725306,16614119,17643692,18168985,18075908,18383743,18911513,20262260,20948023,22779323,23984322
"34000","New Jersey","2","SA5 1/","62","...","    Employer contributions for government social insurance",266054,312077,367048,388642,442954,485696,484217,510950,646441,699497,800355,991440,1053228,1167920,1368147,1735432,1906176,1926187,2198042,2413877,2801785,3209179,3480643,4035654,4346872,4959390,5859128,6210203,6639078,7105903,7929729,8093230,8144234,8287426,8825633,9266642,9781636,10051599,10374337,10807327,11237348,11699775,12616754,13101904
"34000","New Jersey","2","SA5 1/","70","...","  Proprietors' income 8/",1452609,1520291,1526798,1600423,1668425,1704382,1801436,1877672,2020867,2121880,2292955,2310820,2328737,2446650,2634682,2803796,2868954,3008171,3476377,4082035,4688956,5044128,4894392,5049392,4957019,5614375,6525252,7243182,7523709,8497732,10243894,10680644,11122793,10808008,12382408,12877948,13970219,16435634,18392604,19652368,20088734,22548356,25675394,29270805
"34000","New Jersey","2","SA5 1/","71","...","    Farm proprietors' income",80730,56018,72441,72810,60932,56290,48023,58584,62077,51717,48404,54393,46614,42734,35915,68144,80282,33824,32032,34988,54889,50667,38736,76937,88658,115361,121708,146036,151694,178446,161733,146133,123622,107725,117096,131494,147844,123298,135626,73320,88170,65867,127646,62303
"34000","New Jersey","2","SA5 1/","72","...","    Nonfarm proprietors' income",1371879,1464273,1454357,1527613,1607493,1648092,1753413,1819088,1958790,2070163,2244551,2256427,2282123,2403916,2598767,2735652,2788672,2974347,3444345,4047047,4634067,4993461,4855656,4972455,4868361,5499014,6403544,7097146,7372015,8319286,10082161,10534511,10999171,10700283,12265312,12746454,13822375,16312336,18256978,19579048,20000564,22482489,25547748,29208502
"34000","New Jersey","2","SA5 1/","81","[01-02]","  Farm earnings",133873,105797,121349,120381,109704,107797,103255,119206,119690,105418,102397,105344,100292,93319,88967,126634,138056,97376,101719,112030,127078,127124,115613,149654,165920,191661,200001,226669,228808,257911,252822,246334,243403,228045,236518,265201,282459,277257,297444,247151,264964,231525,323075,269060
"34000","New Jersey","2","SA5 1/","82","...","  Nonfarm earnings",11564617,12540159,13159041,13711069,14659738,15295368,16232669,17370607,18957873,20304593,22161879,24100736,26038187,27850761,30408058,33463429,35928438,37713387,41343937,45502022,51017721,56538771,61871922,67681452,72208377,78822903,87841762,95298751,103136866,113073104,125343327,132144621,137984626,139552140,149321334,155319210,161894452,169696017,178299697,188841859,202109057,214017029,235052522,243130046
"34000","New Jersey","2","SA5 1/","90","...","    Private nonfarm earnings",10153084,11039470,11564719,11993894,12844627,13362007,14159655,15155656,16485272,17541714,19065400,20693491,22194137,23487743,25560604,28102637,30080916,31365284,34396527,38041189,42906058,47726674,52176387,57157630,60751644,66566433,74569903,80933181,87833888,96591499,107308733,112624415,116654176,116789993,124762787,129561706,135036452,142126420,150181388,159915947,171953989,182501939,201890152,207770747
"34000","New Jersey","2","SA5 1/","100","[07-08]","      Agricultural services, forestry, and fishing",35856,36087,37295,40785,46662,45267,48765,55092,60272,61238,69757,76179,80067,90982,99972,113260,117857,116134,135348,137702,167444,183736,212041,207502,233417,271037,302981,371775,406143,496261,529009,532038,536742,526129,543139,593901,619962,644516,691690,738611,753708,868460,937380,1107536
"34000","New Jersey","2","SA5 1/","110","07","        Agricultural services",29391,30006,32620,35486,41024,40396,43980,49564,55253,55692,64314,70775,73631,85221,93823,105421,107124,104824,118365,121994,147551,161648,186500,196325,222111,247124,292712,318581,344150,474028,478175,492674,498891,496656,522953,570130,599444,620612,672847,716845,726501,841412,912523,"(NA)"
"34000","New Jersey","2","SA5 1/","120","...","        Forestry and fishing",6465,6081,4675,5299,5638,4871,4785,5528,5019,5546,5443,5404,6436,5761,6149,7839,10733,11310,16983,15708,19893,22088,25541,11177,11306,23913,10269,53194,61993,22233,50834,39364,37851,29473,20186,23771,20518,23904,18843,21766,27207,27048,24857,"(NA)"
"34000","New Jersey","2","SA5 1/","121","08","          Forestry",98,76,74,73,84,92,106,115,129,182,236,355,521,574,689,595,986,1462,1629,760,757,581,591,727,"(L)",2356,3332,1909,1645,116,1093,1139,1721,1977,1595,1738,3031,1710,633,843,2728,4101,4433,"(NA)"
"34000","New Jersey","2","SA5 1/","122","...","          Fishing",6367,6005,4601,5226,5554,4779,4679,5413,4890,5364,5207,5049,5915,5187,5460,7244,9747,9848,15354,14948,19136,21507,24950,10450,11263,21557,6937,51285,60348,22117,49741,38225,36130,27496,18591,22033,17487,22194,18210,20923,24479,22947,20424,"(NA)"
"34000","New Jersey","2","SA5 1/","200","B","      Mining",26343,27797,27414,26463,29902,32224,33513,35003,33433,36105,49209,56373,55316,42697,65471,72023,100321,124080,165346,186947,150824,181694,311459,348916,311398,143727,188583,240450,92129,134847,153995,170768,178766,174584,208276,177661,251521,195602,274011,277154,280545,220007,189184,191106
"34000","New Jersey","2","SA5 1/","210","10","        Metal mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",753,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",683,500,458,430,"(D)","(D)","(D)","(D)","(NA)"
"34000","New Jersey","2","SA5 1/","220","12","        Coal mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",5282,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",4891,5495,5900,6048,"(D)","(D)",10162,5134,"(NA)"
"34000","New Jersey","2","SA5 1/","230","13","        Oil and gas extraction","(L)",681,1218,2463,2301,2870,3151,4287,2640,8787,19473,18612,16320,5190,24829,23467,52665,80317,120181,131012,91613,115961,249517,286265,248543,82334,120178,168185,26244,92275,35150,38108,34283,1178,4169,11003,6811,5713,14162,28229,22075,"(D)","(D)","(NA)"
"34000","New Jersey","2","SA5 1/","240","14","        Nonmetallic minerals, except fuels",20022,21110,21906,20129,23729,25012,26522,27419,28138,25290,27229,35172,36549,34775,37496,43373,38942,35035,34777,37879,42125,47269,49836,52220,53901,54524,62370,66528,70186,61381,105876,127315,142531,169648,199345,161084,238715,183531,253371,242866,250557,194734,154040,"(NA)"
"34000","New Jersey","2","SA5 1/","300","C","      Construction",693750,769490,804110,871257,935249,985310,1086215,1172278,1232652,1332141,1445809,1543035,1725655,1848936,1960508,2171614,2185804,2027243,2056052,2156743,2588866,3005663,3168885,3309367,3518786,3921670,4936834,5661498,6512321,7561551,8441632,8513573,7808558,6750974,6715903,7052179,7448733,7643039,7934930,8616715,8960974,10257026,12059032,13535291
"34000","New Jersey","2","SA5 1/","310","15","        General building contractors",194023,213562,226910,247526,260697,266965,300799,308987,320577,343917,381466,407860,476022,504578,514365,580221,573566,436293,454813,499637,611656,705687,721358,706262,700650,850745,1105637,1314087,1707257,2105803,2392056,2165744,1820701,1528766,1396551,1460360,1584409,1683875,1758647,1883917,2005784,2254324,2714464,"(NA)"
"34000","New Jersey","2","SA5 1/","320","16","        Heavy construction contractors",92425,103628,111841,121949,130080,142228,152784,166715,164994,194647,228990,249776,274179,282332,305374,329798,338362,324381,321034,337954,459445,502245,483758,522939,576860,663090,831195,894144,804118,801704,866502,925920,942513,809920,913806,932015,949394,837136,878262,906594,942421,990052,1127654,"(NA)"
"34000","New Jersey","2","SA5 1/","330","17","        Special trade contractors",407302,452300,465359,501782,544472,576117,632632,696576,747081,793577,835353,885399,975454,1062026,1140769,1261595,1273876,1266569,1280205,1319152,1517765,1797731,1963769,2080166,2241276,2407835,3000002,3453267,4000946,4654044,5183074,5421909,5045344,4412288,4405546,4659804,4914930,5122028,5298021,5826204,6012769,7012650,8216914,"(NA)"
"34000","New Jersey","2","SA5 1/","400","D","      Manufacturing",4493076,4899603,5097234,5197644,5559862,5692126,5933396,6386166,6968393,7260975,7758730,8443314,8644456,8741231,9405508,10242360,10993252,11145117,12098885,13490271,14887854,16449569,17597468,18978535,19459188,20614339,22024005,22834131,23571498,24582479,26106098,26504784,26027898,25900604,26640756,26854683,27275745,27472037,27582629,28383954,29322708,30366249,34666997,32244382
"34000","New Jersey","2","SA5 1/","410","...","        Durable goods manufacturing",2504580,2774219,2896049,2913475,3107466,3133195,3215641,3498285,3828093,3945788,4174993,4529799,4522867,4463931,4815014,5285068,5587362,5559743,5982193,6591629,7326063,8121527,8869960,9432349,9417153,9884956,10498060,10709448,10952684,11355972,11835499,11677685,10648502,10212908,10261607,10059149,10192108,10205511,10175256,10469719,10780024,11152606,11955606,12029247
"34000","New Jersey","2","SA5 1/","413","24","          Lumber and wood products","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",110861,125365,148975,171590,192002,213978,230347,209724,162143,137364,131233,135223,141758,140422,140597,154372,165403,236094,260313,"(NA)"
"34000","New Jersey","2","SA5 1/","417","25","          Furniture and fixtures","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",189885,213719,273956,295038,313840,304116,291894,280147,265193,229096,229055,237658,248659,247151,234183,255088,264213,284406,343169,"(NA)"
"34000","New Jersey","2","SA5 1/","420","32","          Stone, clay, and glass products",179555,197493,202628,216273,227449,242670,258400,272597,301523,307067,335936,377367,388028,394840,440035,483552,520710,518371,552644,601476,659039,703741,742792,737860,721460,722025,751424,762115,791098,821204,829584,821322,760193,712726,747523,749093,766073,799831,778913,783553,801347,838784,891564,"(NA)"
"34000","New Jersey","2","SA5 1/","423","33","          Primary metal industries",248126,271340,282510,283656,290298,288174,304909,320612,356883,354102,368992,402811,399489,375564,403122,443290,474418,442164,433324,463390,514795,572743,639998,721695,693511,707357,715659,687383,703253,730666,772092,760159,716689,669001,740370,694560,726697,691908,665472,709159,701643,640059,700696,"(NA)"
"34000","New Jersey","2","SA5 1/","426","34","          Fabricated metal products",305281,340215,349695,357669,384602,397190,432034,476460,527230,557871,576604,643973,667325,679144,753905,855579,929630,941882,1031186,1076720,1201400,1297961,1375386,1443018,1410409,1433920,1480486,1535910,1582013,1564173,1611127,1587028,1549321,1470994,1475969,1481212,1465090,1487599,1467276,1470957,1430837,1434625,1532649,"(NA)"
"34000","New Jersey","2","SA5 1/","429","35","          Industrial machinery and equipment",374013,394495,416678,423326,474752,475467,520788,564850,628833,660432,732912,805935,808871,771504,863689,969932,1065866,1124382,1197508,1306498,1516643,1688631,1873969,1973734,1939325,1919893,1898425,1984745,1982521,2057314,2215537,2204913,2116892,2034646,1976589,1874580,1898425,1847206,1918474,1920950,1942640,2038223,2115039,"(NA)"
"34000","New Jersey","2","SA5 1/","432","36","          Electronic and other electric equipment",703146,805733,834826,834873,894328,895207,872430,941457,1045369,1085205,1138470,1209296,1192219,1160974,1191501,1318023,1411713,1353541,1426860,1572179,1724755,1919222,2126875,2272266,2413445,2684948,3015830,3016071,3108792,3215513,2537622,2542846,2059693,1933130,1861906,1851087,1848226,1831005,1760001,1789935,1650330,1629715,1844745,"(NA)"
"34000","New Jersey","2","SA5 1/","435","371","          Motor vehicles and equipment",104440,114148,132350,132509,121348,120779,120468,159887,153531,139669,171372,175883,170963,202182,229469,234834,210551,219752,274958,365337,377481,435651,405863,412769,321351,366679,439177,409465,347436,411625,436010,391755,298907,295574,263147,349481,453414,442039,401456,413037,420055,464865,469191,"(NA)"
"34000","New Jersey","2","SA5 1/","438","372-379","          Other transportation equipment",195728,204298,208800,194190,204995,194875,176700,182935,191958,173962,166082,176952,158175,135569,125201,125058,121980,107816,108088,118281,126971,143240,150219,161643,161843,147878,168183,181316,180920,202654,214367,194534,158985,142246,122561,126940,138829,163201,187045,200604,209918,262135,306470,"(NA)"
"34000","New Jersey","2","SA5 1/","441","38","          Instruments and related products",180921,212397,227673,239166,258302,267145,260965,283899,316350,346985,343421,371667,379599,378721,421110,447430,426581,448760,502244,573395,623064,723364,859744,963863,1000144,1063085,1066770,1130776,1204538,1258917,2045371,2007409,1953204,1987092,2086460,1917930,1886346,1934725,1986059,2096769,2502880,2627786,2792674,"(NA)"
"34000","New Jersey","2","SA5 1/","444","39","          Miscellaneous manufacturing industries",136463,149537,152349,147100,159357,160084,174166,194483,190322,195300,208258,218954,217966,221080,223378,237147,258149,246972,283052,321283,354757,398438,432002,457842,454919,500087,539175,535039,546271,575812,651548,677848,607282,601039,626794,641385,618591,620424,635780,675295,690758,695914,699096,"(NA)"
"34000","New Jersey","2","SA5 1/","447","...","          Ordnance 9/","(L)",68,60,0,0,0,0,93,1583,9571,12099,11177,10489,8297,10883,11812,8036,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"34000","New Jersey","2","SA5 1/","450","...","        Nondurable goods manufacturing",1988496,2125384,2201185,2284169,2452396,2558931,2717755,2887881,3140300,3315187,3583737,3913515,4121589,4277300,4590494,4957292,5405890,5585374,6116692,6898642,7561791,8328042,8727508,9546186,10042035,10729383,11525945,12124683,12618814,13226507,14270599,14827099,15379396,15687696,16379149,16795534,17083637,17266526,17407373,17914235,18542684,19213643,22711391,20215135
"34000","New Jersey","2","SA5 1/","453","20","          Food and kindred products",344140,363538,381043,422158,445426,461669,477622,501241,524907,547240,582362,604935,638919,663326,677431,715652,757466,789694,859476,870097,932518,1026773,1137004,1221351,1275774,1407219,1476602,1589726,1715571,1779622,1865107,1937867,1907664,1929635,1991485,2086489,2085927,2078005,2131306,2156166,2201790,2140197,3070927,"(NA)"
"34000","New Jersey","2","SA5 1/","456","21","          Tobacco products",7333,7343,8118,7486,7659,7601,8672,8414,5778,5014,2601,2447,2665,2571,2587,2685,2946,3735,3220,4465,8076,7089,6202,6329,6595,6163,14383,13061,12097,12514,11818,9797,5959,"(D)","(D)",4507,1612,"(D)",1425,1568,"(D)","(D)","(D)","(NA)"
"34000","New Jersey","2","SA5 1/","459","22","          Textile mill products",165731,172267,168756,159387,164095,168421,178154,189843,202666,210251,235395,263889,262437,276423,305932,331837,325451,310340,317616,325234,349828,351873,363889,369251,345282,349580,356041,370388,367053,393879,412278,434599,438989,449561,458292,485780,488506,441808,422870,434543,438769,397843,378954,"(NA)"
"34000","New Jersey","2","SA5 1/","462","23","          Apparel and other textile products",270256,292617,295236,297310,311170,308081,326197,347247,380567,397271,436822,456617,447453,460338,482403,515499,502382,506051,561681,632766,708136,739050,710834,773178,751794,820670,835719,817234,845168,853349,866821,845014,809048,756532,760677,872008,841885,807216,777716,776257,731710,693025,700352,"(NA)"
"34000","New Jersey","2","SA5 1/","465","26","          Paper and allied products",162776,174676,178328,186093,209841,226338,237303,243363,266976,278430,299878,323561,345957,376759,427718,465874,528609,496383,532279,585130,647010,695806,726271,789475,817723,920588,980102,981726,962178,968544,1007303,1019738,1011158,1009653,1045909,1040698,1041507,1034075,1035503,1055479,1130601,1188037,1228770,"(NA)"
